Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Cambria Heights High School,CambriaHeightsSchoolDistrict,Cambria Heights School District,It is the sole high school operated by the Cambria Heights School District,P5353,Forwards
Zavalla High School,UnitedStates,USA,Zavalla High School is a public high school located in Zavalla Texas USA and classified as a 2A school by the UIL,P17,Forwards
Tripoli Greece,Greece,Greece,Tripoli Greek Τρίπολη Trípoli formerly Τρίπολις Trípolis earlier Τριπολιτσά Tripolitsá is a city in the central part of the Peloponnese in Greece,P17,Forwards
Whiteface High School,UnitedStates,USA,Whiteface High School is a public high school located in Whiteface Texas USA and classified as a 1A school by the UIL,P17,Forwards
1957 in sports,1958insports,1958,1954160195516019561601957160195816019591601960,P155,Backwards
Ralls High School,UnitedStates,USA,Ralls High School is a public high school located in Ralls Texas USA and classified as a 2A school by the UIL,P17,Forwards
Ohio Bobcats,NCAADivisionI,Division I,The Ohio Bobcats are the National Collegiate Athletic Association NCAA Division I Intercollegiate athletic teams that represent Ohio University located in Athens Ohio United States,P118,Forwards
1970 in sports,1969insports,1969,1967160196816019691601970160197116019721601973,P156,Backwards
Fanis Koumpouras,Pointguard,point guard,He is 6160ft 1 mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 in 187 m in height and he plays at the point guard position,P413,Forwards
Italy,SportinItaly,sports,The source of many inventions and discoveries the country has long been a global centre of art music literature philosophy science and technology and fashion and has greatly influenced and contributed to diverse fields including cinema cuisine sports jurisprudence banking and business,P17,Backwards
Dmitri Sukharev,1992SummerOlympics,1992 Summer Olympics,He competed in the mens tournament at the 1992 Summer Olympics,P1344,Forwards
1965 in sports,1966insports,1966,1962160196316019641601965160196616019671601968,P156,Forwards
Warrior Run High School,WarriorRunSchoolDistrict,Warrior Run School District,It is the sole high school operated by the Warrior Run School District,P5353,Forwards
Northern Lebanon High School,NorthernLebanonSchoolDistrict,Northern Lebanon School District,The building also contains the Northern Lebanon School Districts middle school grades 6 7 and 8,P5353,Forwards
Brooklyn Nets,NationalBasketballAssociation,National Basketball Association,The Nets compete in the National Basketball Association NBA as a member of the Atlantic Division of the Eastern Conference,P118,Forwards
Central High School Pollok Texas,UnitedStates,United States,Public school in Pollok Texas United StatesCentral High SchoolAddress7622 North US Highway 69Pollok Texas 759699710United StatesInformationSchool typePublic high schoolSchool districtCentral Independent School DistrictPrincipalJustin RisnerGrades912Enrollment4411602017Colorsmwparseroutput legendpagebreakinsideavoidbreakinsideavoidcolumnmwparseroutput legendcolordisplayinlineblockminwidth125emheight125emlineheight125margin1px 0textaligncenterborder1px solid blackbackgroundcolortransparentcolorblackmwparseroutput legendtext160 160 160 Green Black amp WhiteAthletics conferenceUIL Class AAAMascotBulldogsLady DogsYearbookBulldogWebsiteCentral High School,P17,Forwards
Pat Summitt,UnitedStates,United States,Representing 160United States,P27,Forwards
Juniata County School District,JuniataHighSchool,Juniata High School,Juniata County School District operates two high schools Juniata High School and East Juniata JuniorSenior High School,P5353,Backwards
DeSoto High School Texas,UnitedStates,United States,DeSoto High School is a comprehensive public high school in DeSoto Texas United States,P17,Forwards
Wellsboro Area High School,WellsboroAreaSchoolDistrict,Wellsboro Area School District,Wellsboro Area High School is the sole high school operated by the Wellsboro Area School District,P5353,Forwards
Boswell High School,UnitedStates,United States,Boswell High School is a public secondary school in Fort Worth Texas United States,P17,Forwards
Lyndon B Johnson High School Johnson City Texas,UnitedStates,USA,Lyndon Baines Johnson High School or LBJ High School is a public high school located in Johnson City Texas USA and classified as a 3A school by the UIL,P17,Forwards
Berwick Area School District,BerwickAreaSeniorHighSchool,Berwick Area Senior High School,Berwick Area School District operates six schools Berwick Area Senior High School Berwick Middle School Salem Elementary School Orange Street Elementary School 14th Street Elementary School and Nescopeck Elementary School,P5353,Backwards
Midnight basketball,UnitedStates,United States,Midnight basketball is an initiative which developed in the 1990s to curb innercity crime in the United States by keeping urban youth off the streets and engaging them with alternatives to drugs and crime,P17,Forwards
White Deer High School,UnitedStates,USA,White Deer High School is a public high school located in White Deer Texas USA and classified as a 1A school by the UIL,P17,Forwards
Georgios Tsiaras,Powerforwardbasketball,power forward,During his playing career he mainly covered the power forward position but he could also assist at the center position,P413,Forwards
Matteo Soragna,Smallforward,small forward,He can switch between all perimeter positions shooting guard small forward and point guard,P413,Forwards
Dave Hoppen,NationalBasketballAssociation,National Basketball Association,David Dirk Hoppen born March 13 1964 is an American former professional basketball player who played in the National Basketball Association NBA and other leagues,P118,Forwards
Millard North High School,OmahaNebraska,Omaha,Millard North High School is a high school in Omaha Nebraska United States,P131,Forwards
Baird High School,UnitedStates,USA,Baird High School is a public high school located in Baird Texas USA and classified as a 1A school by the UIL,P17,Forwards
Giancarlo Primo,Italy,Italian,Giancarlo Primo November 4 1924 Rome – December 27 2005 Civita Castellana Italy was an Italian professional basketball player and coach,P27,Forwards
Pike County Kentucky,Kentucky,Kentucky,Pike is Kentuckys easternmost county it is also the states largest county in terms of land area,P131,Forwards
1987 in sports,1986insports,1986,1984160198516019861601987160198816019891601990,P155,Forwards
Charlotte High School Texas,UnitedStates,USA,Charlotte High School is a public high school located in Charlotte Texas USA and classified as a 2A school by the UIL,P17,Forwards
Lohn High School,UnitedStates,USA,Lohn High School or Lohn School is a public high school located in unincorporated Lohn Texas USA and classified as a 1A school by the UIL,P17,Forwards
Dimitris Despos,Centerbasketball,center,At a height of 210 m 6 10mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 tall he plays at the center position,P413,Forwards
Westford Academy,Massachusetts,Massachusetts,Westford Academy is the academic public high school grades 9–12 for the town of Westford Massachusetts United States,P131,Forwards
Deni Avdija,Smallforward,small forward,He plays the small forward position,P413,Forwards
Memorial High School San Antonio Texas,UnitedStates,USA,Memorial High School is a public high school located in northwest San Antonio Texas USA,P17,Forwards
Kim Yootaek,SouthKorea,South Korea,Kim YooTaek born October 10 1963 in Pocheon Gyeonggi Province South Korea is a former South Korean basketball player,P27,Forwards
West Texas High School,UnitedStates,USA,West Texas High School is a public high school in Stinnett Texas USA,P17,Forwards
Columbia High School West Columbia Texas,UnitedStates,United States,Columbia High School West Columbia Texas is a public high school located in West Columbia Texas United States,P17,Forwards
Avinger High School,UnitedStates,USA,Avinger High School or Avinger School is a public high school located in Avinger Texas USA and classified as a 1A school by the UIL,P17,Forwards
Claude High School,UnitedStates,USA,Claude High School is a public high school located in Claude Texas USA and classified as a 1A school by the UIL,P17,Forwards
McKeesport Area High School,UnitedStates,United States,McKeesport Area High School is a public high school located in McKeesport Pennsylvania in the United States,P17,Forwards
Childress High School,UnitedStates,USA,Childress High School is a public high school located in Childress Texas USA and classified as a 3A school by the UIL,P17,Forwards
Hubert H Humphrey Metrodome,Minneapolis,Minneapolis,Humphrey Metrodome commonly called the Metrodome was a domed sports stadium located in downtown Minneapolis Minnesota,P131,Forwards
ScotiaGlenville High School,UnitedStates,United States,ScotiaGlenville High School is a public high school in Scotia New York United States,P17,Forwards
Wilt Chamberlain,Centerbasketball,center,Wilton Norman Chamberlain ˈtʃeɪmbərlɪn August 21 1936 – October 12 1999 was an American professional basketball player who played as a center and is widely regarded as one of the greatest players in the sports history,P413,Forwards
Sandra Day OConnor High School Texas,UnitedStates,United States,Sandra Day OConnor High School is a public high school in Helotes Texas United States in the San Antonio metropolitan area,P17,Forwards
Allen Iverson,NationalBasketballAssociation,National Basketball Association,He played 14 seasons in the National Basketball Association NBA at both the shooting guard and point guard positions,P118,Forwards
Polyvalent Hall Craiova,Romania,Romania,Polyvalent Hall from Craiova Romanian Sala Polivalentă din Craiova is a multipurpose indoor arena in Craiova Romania,P17,Forwards
1977 in sports,1976insports,1976,1974160197516019761601977160197816019791601980,P155,Forwards
Fortuna Union High School,California,California,Fortuna Union High School or FUHS is a public high school in Fortuna California serves a large area of the midsection of Humboldt County,P131,Forwards
Grabovica Gornji Milanovac,GornjiMilanovac,Gornji Milanovac,Grabovica Serbian Cyrillic Грабовица pronounced160graboʋit̪͡s̪a32listen is a village in the municipality of Gornji Milanovac Serbia,P131,Forwards
Isiah Thomas,NationalBasketballAssociation,National Basketball Association,He played his entire professional career for the Detroit Pistons of the National Basketball Association NBA,P118,Forwards
Giorgos Kastrinakis,Centerbasketball,center,At 204 m tall he played as a power forwardcenter,P413,Forwards
Christos Tapoutos,Smallforward,small forward,At a height of 206 m 69 tall he played at both the small forward and power forward positions with power forward being his main position,P413,Forwards
Latvian Basketball Association,Latvia,Latvia,The Latvian Basketball Association Latvian Latvijas Basketbola Savienība also known as LBS is the national governing body of basketball in Latvia,P17,Forwards
Earl Mueller,Centerbasketball,center, He was the 1925 national player of the year as a center at Colorado College,P413,Forwards
Northern Potter Junior Senior High School,NorthernPotterSchoolDistrict,Northern Potter School District,It is the sole high school operated by the Northern Potter School District,P5353,Forwards
Paykan FC,Iran,Iran,The team is sponsored by Irans main automobile manufacturer Iran Khodro and is named after one of its older products the Paykan car,P17,Forwards
Muhlenberg High School,MuhlenbergSchoolDistrict,Muhlenberg School District,Muhlenberg High School is the only high school in the Muhlenberg School District,P5353,Forwards
Weimar High School,UnitedStates,USA,Weimar High School is a public high school located in Weimar Texas USA and classified as a 2A school by the UIL,P17,Forwards
The American University of Iraq Sulaimani,Iraq,Iraq,The American University of Iraq SulaimaniMottoLearn Today Lead TomorrowTypePrivateEstablished2007ChairmanJill Derby previously Barham SalihPresidentBruce FergusonAcademic staff75Administrative staff201Students13LocationSulaymaniyah Sulaymaniyah Governorate IraqCampusUrban 400 acresColorsmwparseroutput legendpagebreakinsideavoidbreakinsideavoidcolumnmwparseroutput legendcolordisplayinlineblockminwidth125emheight125emlineheight125margin1px 0textaligncenterborder1px solid blackbackgroundcolortransparentcolorblackmwparseroutput legendtext160 PMS295 160 PMS117AthleticsAUIS Eagles  Soccer and BasketballNicknameAUISSportsFootball Soccer Basketball Ping PongMascotEagleWebsiteauisedukrd,P17,Forwards
Steve Nash,Pointguard,point guard,Named by ESPN in 2006 as the ninthgreatest point guard of all time Nash led the league in assists and free throw percentage at various points in his career,P413,Forwards
Jack Habib,1936SummerOlympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
Central Michigan Chippewas,NCAADivisionI,Division I,The school fields sixteen mens and womens intercollegiate teams that compete at the National Collegiate Athletic Association NCAA Division I level,P118,Forwards
Spearman High School,UnitedStates,USA,Spearman High School is a public high school located in Spearman Texas USA and classified as a 3A school by the UIL,P17,Forwards
Georgios Georgakis,Centerbasketball,center,He is a 205 m 6160ft 8 mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 in tall center,P413,Forwards
Ellet Community Learning Center,AkronOhio,Akron Ohio,Ellet Community Learning Center formerly known as Ellet High School is a public high school in Akron Ohio,P131,Forwards
Jim Farmer,Smallforward,small forward,Farmer a 64 190160lb small forward played for the Mavericks Utah Jazz Seattle SuperSonics Philadelphia 76ers and Denver Nuggets in 5 NBA seasons,P413,Forwards
Nikaia Attica,Greece,Greece,Nikaia Greek Νίκαια Níkaia known before 1940 as Kokkinia Κοκκινιά Kokkiniá is a suburb in the southwestern part of the Athens Urban Area Greece,P17,Forwards
LSBL Championships,Latvia,Latvian,The LSBL Championships Latvijas Sieviešu basketbola līga is an annual tournament for Latvian womens basketball teams in the Latvian Basketball League LBL,P17,Forwards
Karel Kuhn,1936SummerOlympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
West LibertySalem High School,UnitedStates,United States,West LibertySalem High School is a public high school in Salem Township Champaign County Ohio United States,P17,Forwards
Morgan High School Texas,UnitedStates,United States,Morgan High School also known as Morgan School is a public high school located in Morgan Texas United States,P17,Forwards
Chris Anstey,NationalBasketballAssociation,National Basketball Association,At 71 215160cm his career included stints in the National Basketball Association NBA Russia and Spain,P118,Forwards
Pascal Roller,Pointguard,point guard,At a height of 180m 511 tall and a weight of 81160kg 180 pounds he played at the point guard position,P413,Forwards
Michele Mian,2004SummerOlympics,2004 Summer Olympics,Mian was born in Gorizia Italy and won the silver medal with the Italian mens national team at the 2004 Summer Olympics in Athens Greece,P1344,Forwards
Basketball at the 1968 Summer Olympics,MexicoCity,Mexico City,It took place at the Palacio de los Deportes in Mexico City Mexico from October 13 to October 25 1968,P131,Forwards
Massac County High School,Illinois,Illinois,Massac County High School is the only high school in the Massac Unit 1 school district and one of two high schools in Massac County Illinois,P131,Forwards
Waynesburg Central High School,CentralGreeneSchoolDistrict,Central Greene School District,WCHS is the sole high school of the Central Greene School District,P5353,Forwards
Penn Manor High School,PennManorSchoolDistrict,Penn Manor School District,It is the sole high school operated by the Penn Manor School District,P5353,Forwards
Thomas Jefferson High School Dallas,UnitedStates,USA,Thomas Jefferson High School also known as TJ High School is a public high school in Northwest Dallas Texas USA that serves grades 912,P17,Forwards
Korea University,SouthKorea,South Korea,Korea University고려대학교Global Symbol of Korea UniversityFormer namesBosung College1905–1921Bosung Professional College1922–1945MottoLibertas Justitia Veritas자유 정의 진리Motto in160EnglishLiberty Justice TruthTypePrivateEstablishedMay 5 1905PresidentJintaek ChungAcademic staff1442 fulltime2834 parttime 2019Students29757 2019Undergraduates21165 2019Postgraduates8592 2019LocationSeongbukgu Seoul South KoreaCampusUrbanColorsCrimson mwparseroutput legendpagebreakinsideavoidbreakinsideavoidcolumnmwparseroutput legendcolordisplayinlineblockminwidth125emheight125emlineheight125margin1px 0textaligncenterborder1px solid blackbackgroundcolortransparentcolorblackmwparseroutput legendtext160AthleticsFootball Rugby Baseball Basketball Ice HockeyNicknameAnam TigersAffiliationsAssociation of Professional Schools of International Affairs Open University of Tanzania a hrefwikiWashingtonUniversityinStLouis titleWashington University in St,P17,Forwards
Louis D Brandeis High School,UnitedStates,USA,Brandeis High School is public high school located in San Antonio Texas USA,P17,Forwards
Falfurrias High School,UnitedStates,USA,Falfurrias High School is a public high school located in Falfurrias Texas USA and classified as a 3A school by the UIL,P17,Forwards
Rusk High School,UnitedStates,USA,Rusk High School is a public high school located in Rusk Texas USA,P17,Forwards
Victor Alexander,Powerforwardbasketball,power forward,Listed at 610 208 m tall and 265 pounds 120160kg in weight he played as a center and power forward,P413,Forwards
Best Comeback Athlete ESPY Award,UnitedStates,United States,The Best Comeback Athlete ESPY Award has been presented annually since 1993 to the sportsperson irrespective of gender contesting a team sport professionally under the auspices of one of the four North American leagues or an individual sport on either an amateur or professional basis primarily in the United States or internationally under the auspices of a sport governing body adjudged to have made the most significant profound or impressive comeback from serious illness injury personal or familial hardship retirement or significant loss of form,P17,Forwards
East Juniata JuniorSenior High School,JuniataCountySchoolDistrict,Juniata County School District,It is one of two secondary campuses in the Juniata County School District,P5353,Forwards
Arizona Sports Hall of Fame,UnitedStates,United States,The Arizona Sports Hall of Fame is a sports hall of fame in the United States honoring any athlete who has merited recognition and distinction in sports and who has brought fame and honor to the State of Arizona through outstanding sporting accomplishments or contributions According to the halls official website individuals are eligible if he or she meets one of three criteria,P17,Forwards
Darius Songaila,Centerbasketball,center,He played at the power forward and center positions,P413,Forwards
Birkan Batuk,Smallforward,small forward,He mainly plays at the shooting guard position but he also has the ability to play as a small forward if needed,P413,Forwards
Islamic Azad University Damavand Branch,Iran,Iran,The Islamic Azad University Damavand Branch Persian دانشگاه آزاد اسلامی، واحد دماوند Dāneshgāhe Āzāde Eslāmi Vāhede Damavand also known as Azad University of Damavand and as Damavand Azad University is a campus of Islamic Azad University system in Iran,P17,Forwards
Dawson High School Welch Texas,UnitedStates,USA,Dawson High School is a public high school located in unincorporated Welch Texas USA and classified as a 1A school by the University Interscholastic League,P17,Forwards
Camp Wawona,UnitedStates,United States,Camp Wawona consists of approximately 30 acres 120000160m2 of deeded land inside Yosemite National Park in the township of Wawona California in the United States,P17,Forwards
1984 in sports,1985insports,1985,1981160198216019831601984160198516019861601987,P156,Forwards
Greece,Athens,Athens,Its population is approximately 107 million as of 2018 Athens is its largest and capital city followed by Thessaloniki,P17,Backwards
Central York High School,CentralYorkSchoolDistrict,Central York School District,Located at 601 Mundis Mill Road it is the sole high school operated by the Central York School District,P5353,Forwards
Mifflinburg Area School District,MifflinburgAreaHighSchool,Mifflinburg Area High School,Mifflinburg Area School District operates Mifflinburg Area Elementary School Mifflinburg Area Intermediate School Mifflinburg Area Middle School and Mifflinburg Area High School which are all located in a cluster within the borough of Mifflinburg,P5353,Backwards
Antonio Porta,Pointguard,point guard,He played at both the point guard and shooting guard positions,P413,Forwards
Santa Rosa High School Texas,UnitedStates,USA,Santa Rosa High School also abbreviated as  SRHS is a public high school located in Santa Rosa Texas USA,P17,Forwards
Tasha Humphrey,Centerbasketball,center,She played the center position for the Washington Mystics in the WNBA until being waived 6 July 2009,P413,Forwards
Jorge Garbajosa,Powerforwardbasketball,power forward,Standing at 207160m 6160ft 9 mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px182602 in he played both power forward and small forward,P413,Forwards
Coliseo Municipal Antonio Azurmendy Riveros,Chile,Chile,The Coliseo Municipal Antonio Azurmendy Riveros or Coliseo Municipal de Valdivia is an indoor arena that is located in Valdivia Chile,P17,Forwards
Dionis Sakalak,1936SummerOlympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
Levon Kendall,Centerbasketball,center,He plays at both power forward and center,P413,Forwards
Amol,Iran,Iran,Amol Persian آمل8206 – ɒˈmol pronunciation160help·info also Romanized as Āmol and Amul is a city and the administrative center of Amol County Mazandaran Province Iran,P17,Forwards
Aranjuez,Spain,Spain,Aranjuez Spanish pronunciation160aɾaŋˈxweθ32listen is a city and municipality of Spain part of the Community of Madrid,P17,Forwards
Riesel High School,UnitedStates,USA,Riesel High School is a public high school located in Riesel Texas USA and classified as a 3A school by the UIL,P17,Forwards
Continental Basketball League,UnitedStates,United States,The Continental Basketball League CBL was a mens basketball minor league in the United States that began play in April 2010,P17,Forwards
Vlade Divac,Centerbasketball,center,At 7160ft 1160in 216160m he played center and was known for his passing skills,P413,Forwards
Drama Greece,Greece,Greece,Drama Greek Δράμα ˈðrama is a city and municipality in northeastern Greece in Macedonia,P17,Forwards
Allen Central High School,UnitedStates,United States,Allen Central High School Allen Central Central or ACHS was a Title I American high school located in Eastern Floyd County Kentucky United States and was one of four public high schools in the Floyd County School system,P17,Forwards
Trisha Fallon,2004SummerOlympics,2004 Athens Olympics, She also played with the Australian national team during the three consecutive Summer Olympics starting in 1996 including as captain at the 2004 Athens Olympics,P1344,Forwards
1963 in sports,1964insports,1964,1960160196116019621601963160196416019651601966,P156,Forwards
Loyalsock Township School District,LoyalsockTownshipHighSchool,Loyalsock Township High School,Schick Elementary Loyalsock Township Middle School and Loyalsock Township High School,P5353,Backwards
Larry Bird,NationalBasketballAssociation,National Basketball Association,Larry Joe Bird born December 7 1956 is an American former professional basketball player coach and executive in the National Basketball Association NBA,P118,Forwards
Southern Illinois,Illinois,Illinois,state of Illinois principally along and south of Interstate 64,P131,Forwards
1959 in sports,1960insports,1960,1956160195716019581601959160196016019611601962,P156,Forwards
Tomas Masiulis,Powerforwardbasketball,power forward,During his playing career at a height of 205 m 68 mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 tall he played at the power forward position,P413,Forwards
Alamosa High School,Colorado,Colorado,Alamosa High School AHS is the public senior high school of the city of Alamosa Colorado United States,P131,Forwards
Mart Laga,SovietUnion,Soviet Union,Mart Laga May 15 1936 8211 November 27 1977 was an Estonian basketball player who competed for the Soviet Union in the EuroBasket 1955 and EuroBasket 1957 events,P27,Forwards
1982 in sports,1981insports,1981,1979160198016019811601982160198316019841601985,P155,Forwards
Stratford High School Stratford Texas,UnitedStates,USA,Stratford High School is a public high school located in Stratford Texas USA and classified as a 2A school by the UIL,P17,Forwards
Northern Cambria High School,NorthernCambriaSchoolDistrict,Northern Cambria School District,It is the sole high school operated by the Northern Cambria School District,P5353,Forwards
Nikos Oikonomou,Powerforwardbasketball,power forward,As a basketball player he was a 208 m 6160ft 10 in tall power forward and fourtime FIBA EuroStar selection,P413,Forwards
Eddie Jones basketball,NationalBasketballAssociation,National Basketball Association,Eddie Charles Jones born October 20 1971 is an American retired professional basketball player who played for 5 teams in his 14year National Basketball Association NBA career,P118,Forwards
Northern Bedford County MiddleHigh School,UnitedStates,United States,Northern Bedford County MiddleHigh School commonly NBC is a coeducational combination public middle school and public secondary school in Loysburg Pennsylvania United States serving students in grades 6821112,P17,Forwards
Spyros Mourtos,Shootingguard,shooting guard,He plays mainly at the small forward position but he can also operate as a point guard and shooting guard,P413,Forwards
Kurt Oleska,1936SummerOlympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
West Coast Pro Basketball League,UnitedStates,American,The West Coast Professional Basketball League often abbreviated to the WCBL was an American professional mens spring basketball minor league featuring teams from the West Coast of the United States,P17,Forwards
Woodville High School Texas,UnitedStates,United States,Woodville High School is a public high school located in the city of Woodville Texas in Tyler County United States and classified as a 3A school by the UIL,P17,Forwards
Panther Valley High School,PantherValleySchoolDistrict,Panther Valley School District,It is the only high school for the Panther Valley School District,P5353,Forwards
Rolando Ferreira,Centerbasketball,center,At a height of 216 m 71 tall he played at the center position,P413,Forwards
