Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Constantinople,ByzantineEmpire,Byzantine Empire,Constantinople ˌkɒnstæntɪˈnoʊpəl Greek Κωνσταντινούπολις Kōnstantinoupolis Latin Constantinopolis Ottoman Turkish قسطنطينيه‎8206 romanized160Ḳosṭanṭīnīye was the capital city of the Roman Empire 330–395 the Byzantine Empire 395–1204 and 1261–1453 the brief Crusader state known as the Latin Empire 1204–1261 and the Ottoman Empire 1453–1922,P17,Forwards
Ravenna,WesternRomanEmpire,Western Roman Empire,It was the capital city of the Western Roman Empire from 402 until the empire collapsed in 476,P36,Backwards
Vatican City,Pope,pope,As governed by the Holy See the Vatican City State is an ecclesiastical or sacerdotalmonarchical state a type of theocracy ruled by the pope who is the bishop of Rome and head of the Catholic Church,P17,Backwards
Pope Gregory XIII,PapalStates,Papal States,Pope Gregory XIII Latin Gregorius XIII 7 January 1502 – 10 April 1585 born Ugo Boncompagni was head of the Catholic Church and ruler of the Papal States from 13 May 1572 to his death in 1585,P937,Forwards
Piazza Navona,Italy,Italy,Piazza Navona pronounced160ˈpjattsa naˈvoːna is a public open space in Rome Italy,P17,Forwards
Paris,France,France,Paris French pronunciation1608203paʁi32listen is the capital and most populous city of France with an estimated population of 2175601 residents as of 201891update93 in an area of more than 105 square kilometres 41 square miles,P36,Backwards
Constantinople,OttomanEmpire,Ottoman Empire,Constantinople ˌkɒnstæntɪˈnoʊpəl Greek Κωνσταντινούπολις Kōnstantinoupolis Latin Constantinopolis Ottoman Turkish قسطنطينيه‎8206 romanized160Ḳosṭanṭīnīye was the capital city of the Roman Empire 330–395 the Byzantine Empire 395–1204 and 1261–1453 the brief Crusader state known as the Latin Empire 1204–1261 and the Ottoman Empire 1453–1922,P36,Backwards
France,Paris,Paris,France is a unitary semipresidential republic with its capital in Paris the countrys largest city and main cultural and commercial centre,P36,Forwards
Portus,Lazio,Lazio,The archaeological remains of the harbour are near the modernday Italian village of Porto within the Comune of Fiumicino just south of Rome in Lazio ancient Latium,P131,Forwards
Pope Callixtus III,CatholicChurch,Catholic Church,Pope Callixtus III 31 December 1378 – 6 August 1458 born Alfonso de Borgia Valencian Alfons de Borja was head of the Catholic Church and ruler of the Papal States from 8 April 1455 to his death,P140,Forwards
Lombardy,Milan,Milan,Milans metropolitan area is the largest in Italy and the third most populated functional urban area in the EU,P36,Forwards
Italy,Italianeconomicmiracle,economic boom,Following the liberation of Italy and the rise of the Italian Resistance the country abolished their monarchy established a democratic Republic enjoyed a prolonged economic boom and became a highly developed country,P17,Backwards
Perugia,Umbria,Umbria,The region of Umbria is bordered by Tuscany Lazio and Marche,P36,Backwards
Trajan,FiveGoodEmperors,Five Good Emperors,He is also known for his philanthropic rule overseeing extensive public building programs and implementing social welfare policies which earned him his enduring reputation as the second of the Five Good Emperors who presided over an era of peace within the Empire and prosperity in the Mediterranean world,P361,Forwards
European Union,Italy,Italy,   160Italy,P463,Backwards
Calabria,ReggioCalabria,Reggio Calabria,The Regional Council of Calabria is based at the Palazzo Campanella in the city of Reggio Calabria,P361,Backwards
European Union,Germany,Germany,   160Germany,P463,Backwards
Pope Honorius IV,CatholicChurch,Catholic Church,1210 – 3 April 1287 born Giacomo Savelli was head of the Catholic Church and ruler of the Papal States from 2 April 1285 to his death in 1287,P140,Forwards
Vatican City,SistineChapel,Sistine Chapel,Peters Basilica the Sistine Chapel and the Vatican Museums,P17,Backwards
Esquiline Hill,SevenhillsofRome,Seven Hills of Rome,The Esquiline Hill ˈɛskwɪlaɪn Latin Collis Esquilinus Italian Esquilino eskwiˈliːno is one of the Seven Hills of Rome,P361,Forwards
Pope Clement V,PapalStates,Papal States,1264 – 20 April 1314 born Raymond Bertrand de Got also occasionally spelled de Guoth and de Goth was head of the Catholic Church and ruler of the Papal States from 5 June 1305 to his death in April 1314,P937,Forwards
Pope Innocent VIII,CatholicChurch,Catholic Church,Pope Innocent VIII Latin Innocentius VIII 1432 – 25 July 1492 born Giovanni Battista Cybo or Cibo was head of the Catholic Church and ruler of the Papal States from 29 August 1484 to his death,P140,Forwards
Roman Empire,AncientRome,ancient Rome,The Roman Empire Latin Imperium Rōmānum ɪmˈpɛriũː roːˈmaːnũː Koinē Greek Βασιλεία τῶν Ῥωμαίων romanized160Basileía tōn Rhōmaíōn was the postRepublican period of ancient Rome,P17,Forwards
Caravaggio,Milan,Milan,Caravaggio trained as a painter in Milan before moving in his twenties to Rome,P937,Forwards
Pope Formosus,PapalStates,Papal States,Pope Formosus c8201816160821132896 was the bishop of Rome and ruler of the Papal States whose pontificate lasted from 6 October 891 to his death,P937,Forwards
Rome,Italy,,The white area in the centre is Vatican Citymwparseroutput locmap odpositionabsolutemwparseroutput locmap idpositionabsolutelineheight0mwparseroutput locmap l0fontsize0positionabsolutemwparseroutput locmap pvlineheight110positionabsolutetextaligncentermwparseroutput locmap pllineheight110positionabsolutetop075emtextalignrightmwparseroutput locmap prlineheight110positionabsolutetop075emtextalignleftmwparseroutput locmap pvdivdisplayinlinepadding1pxmwparseroutput locmap pldivdisplayinlinepadding1pxfloatrightmwparseroutput locmap prdivdisplayinlinepadding1pxfloatleftRomeLocation within ItalyShow map of ItalyRomeLocation within EuropeShow map of EuropeCoordinates mwparseroutput geodefaultmwparseroutput geodmsmwparseroutput geodecdisplayinlinemwparseroutput geonondefaultmwparseroutput geomultipunctdisplaynonemwparseroutput longitudemwparseroutput latitudewhitespacenowrap41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Coordinates 41°53′N 12°30′Exfeff  xfeff41883°N 12500°Exfeff  41883 12500Country Italy91a93Region160LazioMetropolitan cityRomeFounded753 BCFounded byKing RomulusGovernment160•160TypeStrong Mayor–Council160•160MayorVirginia Raggi M5S160•160LegislatureCapitoline AssemblyArea160•160Total1285160km2 4963160sq160miElevation21160m 69160ftPopulation16031 December 2019160•160Rank1st in Italy 3rd in the EU160•160Density2236km2 5790sq160mi160•160Comune2860009160•160Metropolitan City4342212DemonymsItalian romano masculine romana feminineEnglish RomanTime zoneUTC1 CETCAP codes00100 00118 to 00199Area codes06Websitecomuneromait,P17,Forwards
Pope Leo X,CatholicChurch,Catholic Church,Pope Leo X born Giovanni di Lorenzo de Medici 11 December 14751608211321 December 1521 was head of the Catholic Church and ruler of the Papal States from 9 March 1513 to his death,P140,Forwards
Pope Clement XIII,PapalStates,Papal States,Pope Clement XIII Latin Clemens XIII 7 March 1693160– 2 February 1769 born Carlo della Torre di Rezzonico was head of the Catholic Church and ruler of the Papal States from 6 July 1758 to his death in 1769,P937,Forwards
Venice,Italy,Italy,Venice ˈvɛnɪs VEHniss Italian Venezia veˈnɛttsja32listen Venetian Venesia or Venexia veˈnɛsja is a city in northeastern Italy and the capital of the Veneto region,P17,Forwards
Battle of the Allia,RomanRepublic,Roman Republic,The Battle of the Allia was a battle fought c8201387160BC between the Senones – a Gallic tribe led by Brennus who had invaded northern Italy – and the Roman Republic,P710,Forwards
Quirinal Palace,Italy,Italy,The Quirinal Palace Italian Palazzo del Quirinale paˈlattso del kwiriˈnaːle is a historic building in Rome Italy one of the three current official residences of the President of the Italian Republic together with Villa Rosebery in Naples and the Tenuta di Castelporziano an estate on the outskirts of Rome some 25 km from the centre of the city,P17,Forwards
Axis powers,WorldWarII,World War II,The Axis powers91nb 193 originally called the Rome–Berlin Axis was a military coalition that fought in World War II against the Allies,P710,Backwards
Lateran,LateranPalace,Lateran Palace,The most famous Lateran buildings are the Lateran Palace once called the Palace of the Popes and the Archbasilica of Saint John Lateran the cathedral of Rome which although part of Italy is a property of the Holy See which has extraterritorial privileges as a result of the 1929 Lateran Treaty,P361,Backwards
Pope Sixtus IV,Rome,Rome,A patron of the arts he brought together the group of artists who ushered the  Early Renaissance into Rome with the first masterpieces of the citys new artistic age,P20,Forwards
Ravenna,ExarchateofRavenna,Exarchate of Ravenna,Afterwards the city formed the centre of the Byzantine Exarchate of Ravenna until the invasion of the Lombards in 751,P36,Backwards
Ponte SantAngelo,Rome,Rome,Ponte SantAngelo originally the Aelian Bridge or Pons Aelius is a Roman bridge in Rome Italy completed in 134160AD by Roman Emperor Hadrian Publius Aelius Hadrianus to span the Tiber from the city centre to his newly constructed mausoleum now the towering Castel SantAngelo,P131,Forwards
European Union,Spain,Spain,   160Spain,P463,Backwards
Pope Paul IV,PapalStates,Papal States,Pope Paul IV CR Latin Paulus IV 28 June 1476160– 18 August 1559 born Gian Pietro Carafa was head of the Catholic Church and ruler of the Papal States from 23 May 1555 to his death in 1559,P937,Forwards
Rome,PapalStates,Papal States,After the fall of the Empire in the west which marked the beginning of the Middle Ages Rome slowly fell under the political control of the Papacy and in the 8th century it became the capital of the Papal States which lasted until 1870,P36,Backwards
Vatican City,Pope,bishop of Rome,As governed by the Holy See the Vatican City State is an ecclesiastical or sacerdotalmonarchical state a type of theocracy ruled by the pope who is the bishop of Rome and head of the Catholic Church,P17,Backwards
Capitoline Hill,SevenhillsofRome,Seven Hills,  Schematic map of Rome showing the Seven Hills and the Servian Wall,P527,Backwards
Piacenza,Italy,Italy,Piacenza Italian pronunciation160pjaˈtʃɛntsa32listen Piacentino Piaṡëinsa piaˈzəi̯sɐ Latin Placentia is a city and comune in the EmiliaRomagna region of northern Italy the capital of the eponymous province,P17,Forwards
Richard Krautheimer,Rome,Rome,Richard Krautheimer 6 July 1897 in Fürth Franconia Germany – 1 November 1994 in Rome Italy was a 20thcentury art historian architectural historian Baroque scholar and Byzantinist,P20,Forwards
Crimean War,KingdomofSardinia,Sardinia,160France91a93160British Empire91a93 Sardinia91b93Supported by160Austrian Empire Caucasus Imamate91c93 Circassia Abkhazia91b93,P710,Forwards
First Punic War,PunicWars,three wars,The First Punic War 264–241 BC was the first of three wars fought between Rome and Carthage the two main powers of the western Mediterranean in the early 3rd century BC,P527,Backwards
Sardinia,Italy,Italian Republic,Later during the period of Italian unification the Savoyards expanded their domains to include the entire Italian peninsula their territory was renamed into the Kingdom of Italy in 1861 and it was reconstituted as the presentday Italian Republic in 1946,P17,Forwards
European Union,Hungary,Hungary,   160Hungary,P463,Backwards
Borgo rione of Rome,Rome,Rome,Borgo sometimes called also I Borghi is the 14th rione of Rome Italy,P131,Forwards
Crimean War,KingdomofSardinia,Sardinia,The Crimean War91e93 was a military conflict fought from October 1853 to February 1856 in which Russia lost to an alliance made up of France the Ottoman Empire the United Kingdom and Sardinia,P710,Forwards
Papal States,CatholicChurch,Catholic Church,Catholic Church,P140,Forwards
Pope Nicholas V,CatholicChurch,Catholic Church,Pope Nicholas V Latin Nicholaus V 13 November 1397 – 24 March 1455 born Tommaso Parentucelli was head of the Catholic Church and ruler of the Papal States from 6 March 1447 until his death,P140,Forwards
Pope Pius V,PapalStates,Papal States,Pope Pius V 17 January 1504160– 1 May 1572 born Antonio Ghislieri from 1518 called Michele Ghislieri OP was head of the Catholic Church and ruler of the Papal States from 8 January 1566 to his death in 1572,P937,Forwards
Vatican City,LateranTreaty,Lateran Treaty,The independent state of Vatican City on the other hand came into existence on 11 February 1929 by the Lateran Treaty between the Holy See and Italy which spoke of it as a new creation not as a vestige of the much larger Papal States 756–1870 which had previously encompassed much of central Italy,P17,Backwards
Pope Honorius IV,PapalStates,Papal States,1210 – 3 April 1287 born Giacomo Savelli was head of the Catholic Church and ruler of the Papal States from 2 April 1285 to his death in 1287,P937,Forwards
World War II,AlliesofWorldWarII,Allies,It involved the vast majority of the worlds countries—including all of the great powers—forming two opposing military alliances the Allies and the Axis powers,P710,Forwards
Pope Paul IV,CatholicChurch,Catholic Church,Pope Paul IV CR Latin Paulus IV 28 June 1476160– 18 August 1559 born Gian Pietro Carafa was head of the Catholic Church and ruler of the Papal States from 23 May 1555 to his death in 1559,P140,Forwards
France,AlliesofWorldWarII,Allied powers,France was one of the prominent participants of World War I from which it emerged victorious and was one of the Allied powers in World War II but came under occupation by the Axis in 1940,P527,Backwards
Vatican City,ApostolicPalace,Apostolic Palace,After the Avignon Papacy 1309–1437 the popes have mainly resided at the Apostolic Palace within what is now Vatican City although at times residing instead in the Quirinal Palace in Rome or elsewhere,P17,Backwards
Roman Republic,AncientRome,classical Roman civilization,The Roman Republic Latin Rēs pūblica Rōmāna ˈreːs ˈpuːblɪka roːˈmaːna officially the Senate and People of Rome Latin Senatus Populusque Romanus  was the era of classical Roman civilization led by the Roman people beginning with the overthrow of the Roman Kingdom traditionally dated to 509 BC and ending in 27 BC with the establishment of the Roman Empire,P361,Forwards
Battle of Lake Regillus,RomanRepublic,Roman Republic,The Battle of Lake Regillus was a legendary Roman victory over the Latin League shortly after the establishment of the Roman Republic and as part of a wider Latin War,P710,Forwards
Italy,EuropeanUnion,European Union,Today Italy is considered to be one of the worlds most culturally and economically advanced countries with the worlds eighthlargest economy by nominal GDP third in the European Union sixthlargest national wealth and thirdlargest central bank gold reserve,P463,Forwards
Caravaggio,Naples,Naples,During the final four years of his life he moved between Naples Malta and Sicily until his death,P937,Forwards
Italy,EuropeanUnion,European Union,Italy is a founding and leading member of the European Union and a member of numerous international institutions including the United Nations NATO the OECD the Organization for Security and Cooperation in Europe the World Trade Organization the Group of Seven the G20 the Union for the Mediterranean the Council of Europe Uniting for Consensus the Schengen Area and many more,P463,Forwards
First Punic War,RomanRepublic,Rome,The First Punic War 264–241 BC was the first of three wars fought between Rome and Carthage the two main powers of the western Mediterranean in the early 3rd century BC,P710,Forwards
World War II,Axispowers,Axis powers,It involved the vast majority of the worlds countries—including all of the great powers—forming two opposing military alliances the Allies and the Axis powers,P710,Forwards
Crimean War,KingdomofSardinia,, 2166,P710,Forwards
Lateran,LateranPalace,Lateran Palace,The most famous Lateran buildings are the Lateran Palace once called the Palace of the Popes and the Archbasilica of Saint John Lateran the cathedral of Rome which although part of Italy is a property of the Holy See which has extraterritorial privileges as a result of the 1929 Lateran Treaty,P527,Forwards
Aurelian Walls,Rome,Rome,The Aurelian Walls Italian Mura aureliane are a line of city walls built between 271 AD and 275 AD in Rome Italy during the reign of the Roman Emperors Aurelian and Probus,P131,Forwards
Capitoline Hill,SevenhillsofRome,seven hills,The Capitoline HillOne of the seven hills of RomeLatin nameCollis CapitolinusItalian nameCampidoglioRioneCampitelliBuildingsCapitoline Museums and Piazza del Campidoglio Palazzo Senatorio Palazzo dei Conservatori Palazzo Nuovo Tabularium Aedes TensarumChurchesSanta Maria in AracoeliAncient Roman religionTemple of Jupiter Temple of Veiovis Ludi Capitolini Aedes TensarumRoman sculpturesColossus of Constantine,P527,Backwards
Trajan,FiveGoodEmperors,Five Good Emperors,He is also known for his philanthropic rule overseeing extensive public building programs and implementing social welfare policies which earned him his enduring reputation as the second of the Five Good Emperors who presided over an era of peace within the Empire and prosperity in the Mediterranean world,P527,Backwards
Constantinople,OttomanEmpire,Ottoman Empire,With the advent of the Ottoman Empire in 1299 the Byzantine Empire began to lose territories and the city began to lose population,P17,Forwards
Pope Pius XI,CatholicChurch,Catholic Church,Pope Pius XI Italian Pio XI born Ambrogio Damiano Achille Ratti91a93 Italian160amˈbrɔdʒo daˈmjano aˈkille ˈratti 31 May 1857160– 10160February 1939 was head of the Catholic Church from 6 February 1922 to his death in 1939,P140,Forwards
Food and Agriculture Organization,Italy,Repubblica Italiana,Surrounded by Repubblica Italiana Republic of Italy,P463,Backwards
France,FrenchRevolution,French Revolution,The French Revolution in 1789 saw the fall of the absolute monarchy that characterized the Ancien Régime and from its ashes rose one of modern historys earliest republics which drafted the Declaration of the Rights of Man and of the Citizen,P17,Backwards
Spanish Steps,Italy,Italy,The Spanish Steps Italian Scalinata di Trinità dei Monti are a set of steps in Rome Italy climbing a steep slope between the Piazza di Spagna at the base and Piazza Trinità dei Monti dominated by the Trinità dei Monti church at the top,P17,Forwards
Sybaris,Italy,Italy,Today they can be found southeast of Sibari a frazione in the comune of Cassano allo Ionio in the Province of Cosenza Calabria region Italy,P17,Forwards
Roman Ghetto,Rome,Rome,The Roman Ghetto or Ghetto of Rome Italian Ghetto di Roma was a Jewish ghetto established in 1555 in the Rione SantAngelo in Rome Italy in the area surrounded by presentday Via del Portico dOttavia Lungotevere dei Cenci Via del Progresso and Via di Santa Maria del Pianto close to the River Tiber and the Theatre of Marcellus,P131,Forwards
Aurelian Walls,Italy,Italy,The Aurelian Walls Italian Mura aureliane are a line of city walls built between 271 AD and 275 AD in Rome Italy during the reign of the Roman Emperors Aurelian and Probus,P17,Forwards
Pope Urban V,CatholicChurch,Catholic Church,Pope Urban V Latin Urbanus V 1310 – 19 December 1370 born Guillaume de Grimoard was the head of the Catholic Church from 28 September 1362 until his death in 1370 and was also a member of the Order of Saint Benedict,P140,Forwards
Spoleto,Italy,Italian,Spoleto spəˈleɪtoʊ also US spoʊˈleɪtoʊ spoʊˈliːtoʊ UK spoʊˈlɛtoʊ Italian160spoˈleːto Latin Spoletum is an ancient city in the Italian province of Perugia in eastcentral Umbria on a foothill of the Apennines,P17,Forwards
Italy,Rome,Rome,A unitary parliamentary republic with Rome as its capital the country covers a total area of 301340160km2 116350160sq160mi and shares land borders with France Switzerland Austria Slovenia and the enclaved microstates of Vatican City and San Marino,P17,Backwards
IndoEuropean languages,Italiclanguages,Italic,The IndoEuropean family is divided into several branches or subfamilies of which there are 8 groups with languages still alive today Albanian Armenian BaltoSlavic Celtic Germanic Hellenic IndoIranian and Italic and another 6 subdivisions which are now extinct,P527,Forwards
Pope Eugene IV,CatholicChurch,Catholic Church,Pope Eugene IV Latin Eugenius IV 1383 – 23 February 1447 born Gabriele Condulmer was head of the Catholic Church and ruler of the Papal States from 3 March 1431 to his death,P140,Forwards
Constantinople,JustinianI,Justinian I,537 AD Completion of the Hagia Sophia by Justinian I,P20,Backwards
Pompeii,Italy,Italy,Pompeii pɒmˈpeɪi Latin160pɔmˈpei̯iː was an ancient city located in what is now the comune of Pompei near Naples in the Campania region of Italy,P17,Forwards
Pier Luigi Farnese Duke of Parma,Piacenza,Piacenza,Pier Luigi Farnese 19 November 1503 – 10 September 1547 was the first Duke of Castro from 1537 to 1545 and the first Duke of Parma and Piacenza from 1545 to 1547,P20,Forwards
Patrician ancient Rome,ConflictoftheOrders,Conflict of the Orders,The distinction was highly significant in the Roman Kingdom and the early Republic but its relevance waned after the Conflict of the Orders 494 BC to 287 BC,P710,Backwards
Germany,EuropeanUnion,European Union,    Anthem160Deutschlandlied91a93English Song of GermanyShow globeShow map of EuropeLocation of160Germany160dark green–160in Europe160light green amp160dark grey–160in the European Union160light greenCapitaland largest cityBerlin91b9352°31′N 13°23′Exfeff  xfeff52517°N 13383°Exfeff  52517 13383Official languagemwparseroutput noboldfontweightnormaland national languageGerman91c93DemonymsGermanGovernmentFederal parliamentary republic•160President FrankWalter Steinmeier•160Chancellor Angela Merkel•160Vice Chancellor Olaf Scholz,P463,Forwards
Italy,Sardinia,Sardinia,German is coofficial in South Tyrol and Friuli Venezia Giulia French is coofficial in the Aosta Valley Slovene is coofficial in the province of Trieste the province of Gorizia and Friuli Venezia Giulia Ladin is coofficial in South Tyrol in Trentino and in other northern areas Friulian is coofficial in Friuli Venezia Giulia Sardinian is coofficial in Sardinia,P17,Backwards
Apostolic Palace,SistineChapel,Sistine Chapel,The building contains the Papal Apartments various offices of the Catholic Church and the Holy See private and public chapels Vatican Museums and the Vatican Library including the Sistine Chapel Raphael Rooms and Borgia Apartment,P361,Backwards
Fregellae,Italy,Italy,Fregellae was an ancient town of Latium adiectum situated on the Via Latina between Aquinum modern Aquino and Frusino now Frosinone in central Italy near the left branch of the Liris,P17,Forwards
Gaul,Germany,Germany,It was inhabited by Celtic tribes encompassing present day France Luxembourg Belgium most of Switzerland and parts of Northern Italy the Netherlands and Germany particularly the west bank of the Rhine,P17,Forwards
Pope Julius II,CatholicChurch,Catholic Church,Pope Julius II Italian Papa Giulio II Latin Iulius II born Giuliano della Rovere 5 December 144316082113221 February 1513 was head of the Catholic Church and ruler of the Papal States from 1503 to his death in 1513,P140,Forwards
Sistine Chapel,VaticanCity,Vatican City,The Sistine Chapel ˌsɪstiːn ˈtʃæpəl Latin Sacellum Sixtinum Italian Cappella Sistina kapˈpɛlla siˈstiːna is a chapel in the Apostolic Palace the official residence of the pope in Vatican City,P17,Forwards
Pope Urban VI,CatholicChurch,Catholic Church,1318 – 15 October 1389 born Bartolomeo Prignano Italian pronunciation160bartoloˈmɛːo priɲˈɲaːno was the Roman claimant to the headship of the Catholic Church from 8 April 1378 to his death,P140,Forwards
Albano Laziale,Italy,Italy,Albano Laziale IPA160alˈbaːno latˈtsjaːle Latin Albanum Romanesco Arbano is a comune in the Metropolitan City of Rome on the Alban Hills  in Latium central Italy,P17,Forwards
Sicily,Italy,Italy,The island became part of Italy in 1860 following the Expedition of the Thousand a revolt led by Giuseppe Garibaldi during the Italian unification and a plebiscite,P17,Forwards
Campus Martius,Rome,Rome,The Campus Martius Latin for the Field of Mars Italian Campo Marzio was a publicly owned area of ancient Rome about 2 square kilometres 490 acres in extent,P131,Forwards
Sistine Chapel,ApostolicPalace,Apostolic Palace,The Sistine Chapel ˌsɪstiːn ˈtʃæpəl Latin Sacellum Sixtinum Italian Cappella Sistina kapˈpɛlla siˈstiːna is a chapel in the Apostolic Palace the official residence of the pope in Vatican City,P361,Forwards
Italy,Rome,Rome,    Anthem160Il Canto degli Italiani160160ItalianThe Song of the ItaliansShow globeShow map of EuropeLocation of160Italy160dark green–160in Europe160light green amp160dark grey–160in the European Union160light green160 –160 91Legend93Capitaland largest cityRome41°54′N 12°29′Exfeff  xfeff41900°N 12483°Exfeff  41900 12483Official160languagesItalianaNative languagesSee full listEthnic160groups  2017915 Italians85 OthersReligion  2017833 Christianity124 No religion37 Islam06 OthersDemonymsItalianGovernmentUnitary parliamentaryconstitutional republic•160President Sergio Mattarella•160Prime Minister Mario Draghi•160President of the Senate Elisabetta Casellati•160President of theChamber of Deputies Roberto Fico,P17,Backwards
Roma Termini railway station,Italy,Italy,Roma Termini in Italian Stazione Termini IATA XRJ is the main railway station of Rome Italy,P17,Forwards
Pope Nicholas III,CatholicChurch,Catholic Church,Pope Nicholas III Latin Nicolaus III c 1225 – 22 August 1280 born Giovanni Gaetano Orsini was head of the Catholic Church and ruler of the Papal States from 25 November 1277 to his death,P140,Forwards
Capitoline Hill,SevenhillsofRome,Seven Hills of Rome,The Capitolium or Capitoline Hill ˈkæpɪtəlaɪn kəˈpɪt KAPitəlyne kəPIT Italian Campidoglio kampiˈdɔʎʎo Latin Mons Capitolinus ˈmõːs kapɪtoːˈliːnʊs between the Forum and the Campus Martius is one of the Seven Hills of Rome,P361,Forwards
Inquisition,CatholicChurch,Catholic Church,The Inquisition in historical ecclesiastical terminology also referred to as the Holy Inquisition was a group of institutions within the Catholic Church whose aim was to combat heresy,P361,Forwards
Guelphs and Ghibellines,SicilianVespers,Sicilian Vespers,Sicilian Vespers,P361,Backwards
Ancient Rome,RomanRepublic,Roman Republic,In historiography ancient Rome is Roman civilization from the founding of the Italian city of Rome in the 8th century BC to the collapse of the Western Roman Empire in the 5th century AD encompassing the Roman Kingdom 753 BC–509 BC Roman Republic 509 BC–27 BC and Roman Empire 27 BC–476 AD until the fall of the western empire,P527,Forwards
