Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Italy,Senate of the Republic Italy,Senate of the Republic,LegislatureParliament•160Upper houseSenate of the Republic•160Lower houseChamber of DeputiesFormation•160Unification 17 March 1861•160Republic 2 June 1946•160Current constitution 1 January 1948•160Founded the EEC now EU 1 January 1958,P1001,Backwards
Marche,Tuscany,Tuscany,The region is located in the Central area of the country bordered by EmiliaRomagna and the republic of San Marino to the north Tuscany to the west Umbria to the southwest Abruzzo and Lazio to the south and the Adriatic Sea to the east,P47,Forwards
St Andrews Church Cologne,Romanesque architecture,Romanesque,Andreas is a 10thcentury Romanesque church located in the old town of Cologne Germany,P149,Forwards
Agrippina the Younger,Roman emperor,Roman emperor,One of the most prominent women in the JulioClaudian dynasty her father was the Roman general Germanicus onetime heir apparent to the Roman Empire under Tiberius her mother was Agrippina the Elder granddaughter of the first Roman emperor Augustus she was the younger sister of emperor Caligula niece and fourth wife of emperor Claudius who succeeded Caligula and the mother of emperor Nero who succeeded Claudius,P39,Forwards
Roman Theater Amman,Roman theatre structure,Roman theatre,Ammans Roman Theatre is a 6000seat 2ndcentury Roman theatre,P31,Forwards
Marcus Antistius Labeo,Antistia gens,gens Antistia,10 or 11 AD was an Ancient Roman jurist of the gens Antistia,P5025,Forwards
Islamic geometric patterns,Islamic ornament,Islamic ornament,Islamic geometric patterns are one of the major forms of Islamic ornament which tends to avoid using figurative images as it is forbidden to create a representation of an important islamic figure according to many holy scriptures,P279,Backwards
VillefranchesurMer,AlpesMaritimes,AlpesMaritimes,VillefranchesurMer US ˌviːləˈfrɒ̃ʃ sʊər ˈmɛər French160vilfʁɑ̃ʃ syʁ mɛʁ Occitan Vilafranca de Mar ˌvilɔˈfʀaŋkɔ de ˈmaʀ Italian Villafranca Marittima ˌvillaˈfraŋka maˈrittima is a commune in the AlpesMaritimes department in the ProvenceAlpesCôte dAzur region on the French Riviera and is located southwest of the Principality of Monaco which is just west of the FrenchItalian border,P131,Forwards
Toilet paper,Hygiene,hygiene,The use of paper for hygiene has been recorded in China in the 6th century AD with specifically manufactured toilet paper being massproduced in the 14th century,P366,Forwards
Umbertide,Province of Perugia,province of Perugia,Umbertide Italian pronunciation160umˈbɛrtide is a town and comune township of Italy in the province of Perugia and  in northwestern Umbria at the confluence of the Reggia river and the Tiber,P131,Forwards
Schöneberg Bad Kreuznach,Germany,Germany,Schöneberg is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the Bad Kreuznach district in RhinelandPalatinate Germany,P17,Forwards
Pope Eugene II,Papal States,Papal States,Pope Eugene II Latin Eugenius II died 27 August 827 was the bishop of Rome and ruler of the Papal States from 6 June 824 to his death,P937,Forwards
Francis of Assisi,Italian language,Italian,Francis of Assisi born Giovanni di Pietro di Bernardone Italian Francesco dAssisi Latin Franciscus Assisiensis 1181 or 1182 – 3 October 1226 venerated as Saint Francis of Assisi also known in his ministry as Francesco  was an Italian Catholic friar deacon mystic and preacher,P1412,Forwards
Gaius Mucius Scaevola,Ancient Rome,ancient Roman,Gaius Mucius Cordus better known with his later cognomen Scaevola ˈsiːvələ ˈsɛv SEEVələ Latin160ˈskae̯wɔla was an ancient Roman youth possibly mythical famous for his bravery,P19,Forwards
Alps,Italy,Italy,The Alps91a93 are the highest and most extensive mountain range system that lies entirely in Europe91b93 stretching approximately 1200160km 750160mi across eight Alpine countries from west to east France Switzerland Monaco Italy Liechtenstein Austria Germany and Slovenia,P17,Forwards
Syria,Israel,Israel,Syria Arabic سُورِيَا8206 romanized160Sūriyā officially the Syrian Arab Republic Arabic ٱلْجُمْهُورِيَّةُ ٱلْعَرَبِيَّةُ ٱلسُّورِيَّةُ8206 romanized160alJumhūrīyah alʻArabīyah asSūrīyah is a country in Western Asia bordering Lebanon to the southwest the Mediterranean Sea to the west Turkey to the north Iraq to the east Jordan to the south and Israel to the southwest,P47,Backwards
Turkey,Greece,Greece,It shares borders with Greece and Bulgaria to the northwest the Black Sea to the north Georgia to the northeast Armenia Azerbaijan and Iran to the east Iraq to the southeast Syria and the Mediterranean Sea to the south and the Aegean Sea to the west,P530,Backwards
Perugia,Province of Perugia,province of Perugia,Perugia pəˈruːdʒə also US dʒiə peɪˈ Italian160peˈruːdʒa32listen Latin Perusia is the capital city of both the region of Umbria in central Italy crossed by the river Tiber and of the province of Perugia,P1376,Forwards
Constantinople,Ottoman Empire,Ottoman Empire,With the advent of the Ottoman Empire in 1299 the Byzantine Empire began to lose territories and the city began to lose population,P36,Backwards
Kingdom of Iberia,Iberian Peninsula,Iberian Peninsula,The term Caucasian Iberia is also used to distinguish it from the Iberian Peninsula in Southwestern Europe,P1889,Backwards
Pope Leo XI,Florence,Florence,He was from the prominent House of Medici originating from Florence,P19,Forwards
Bagnoregio,Province of Viterbo,Province of Viterbo,Bagnoregio is a comune municipality in the Province of Viterbo in the Italian region of Lazio located about 90 kilometres 56160mi northwest of Rome and about 28 kilometres 17160mi north of Viterbo,P131,Forwards
Constantinople,Justinian I,Justinian I,537 AD Completion of the Hagia Sophia by Justinian I,P20,Backwards
Mömlingen,Germany,Germany,Mömlingen is a municipality in the Miltenberg district in the Regierungsbezirk of Lower Franconia Unterfranken in Bavaria Germany,P17,Forwards
Delos,Greece,Greece,The island of Delos ˈdiːlɒs Greek Δήλος ˈðilos Attic Δῆλος Doric Δᾶλος near Mykonos near the centre of the Cyclades archipelago is one of the most important mythological historical and archaeological sites in Greece,P17,Forwards
Po Valley,Veneto,Veneto,The flatlands of Veneto and Friuli are often considered apart since they do not drain into the Po but they effectively combine into  an unbroken plain making it the largest in Southern Europe,P131,Forwards
Potitus Valerius Messalla,Ancient Rome,Ancient Roman,70 BC – after 17 BC was an Ancient Roman statesman probably a son of Marcus Valerius Messalla Rufus,P19,Forwards
Turkey,Aegean Sea,Aegean Sea,It shares borders with Greece and Bulgaria to the northwest the Black Sea to the north Georgia to the northeast Armenia Azerbaijan and Iran to the east Iraq to the southeast Syria and the Mediterranean Sea to the south and the Aegean Sea to the west,P17,Backwards
Cappy Somme,France,France,Cappy is a commune in the Somme department in HautsdeFrance in northern France,P17,Forwards
La MaillerayesurSeine,France,France,La MaillerayesurSeine is a former commune in the SeineMaritime department in the Normandy region in northern France,P17,Forwards
March on Rome,Benito Mussolini,Benito Mussolini,The March on Rome Italian Marcia su Roma was an organized mass demonstration in October 1922 which resulted in Benito Mussolinis National Fascist Party PNF ascending to power in the Kingdom of Italy,P170,Forwards
Province of Viterbo,Lazio,Lazio,Viterbo Italian provincia di Viterbo is a province in the Lazio region of Italy,P150,Backwards
Quintus Ancharius praetor 56 BC,Ancient Rome,Ancient Rome,Quintus Ancharius was a politician in the 1st century BCE in Ancient Rome,P27,Forwards
Ottoman–Habsburg wars,Ottoman Empire,Ottoman Empire, Ottoman Empire,P710,Forwards
Greek language,Greece,Greece,Greek modern Ελληνικά romanized Elliniká ancient Ἑλληνική Hellēnikḗ is an independent branch of the IndoEuropean family of languages native to Greece Cyprus Albania other parts of the Eastern Mediterranean and the Black Sea,P17,Forwards
HéninBeaumont,PasdeCalais,PasdeCalais,HéninBeaumont French pronunciation1608203enɛ̃ bomɔ̃ Picard HinninBiaumont is a commune in the PasdeCalais department in the HautsdeFrance region of France,P131,Forwards
Walheim,Germany,Germany,Walheim is a town in the district of Ludwigsburg BadenWürttemberg Germany with a considerable viticulture,P17,Forwards
Numitor,Rhea Silvia,Rhea Silvia, He was the son of Procas descendant of Aeneas the Trojan and father of the twins mother Rhea Silvia and Lausus,P22,Backwards
Pistoia–Bologna railway,Bologna,Bologna,The Pistoia–Bologna railway  is an Italian railway connecting Bologna to Pistoia and was the first line through the Apennines between Tuscany and EmiliaRomagna,P609,Forwards
Italy,History of Italy,Formation,LegislatureParliament•160Upper houseSenate of the Republic•160Lower houseChamber of DeputiesFormation•160Unification 17 March 1861•160Republic 2 June 1946•160Current constitution 1 January 1948•160Founded the EEC now EU 1 January 1958,P1269,Backwards
Baroque,Baroque architecture,architecture,The Baroque UK bəˈrɒk US bəˈroʊk French160baʁɔk is a style of architecture music dance painting sculpture and other arts that flourished in Europe from the early 17th century until the 1740s,P279,Backwards
Papal apartments,Vatican City,Vatican City,The Papal apartments is the nonofficial designation for the collection of apartments which are private state and religious that wrap around a courtyard the Courtyard of Sixtus V Cortile di Sisto V on two sides of the third top floor of the Apostolic Palace in Vatican City,P17,Forwards
580s BC,585 BC,585160,589160BC588160BC587160BC586160BC585160BC 584160BC583160BC582160BC581160BC580160BC,P361,Backwards
Campi Norcia,Italy,Italy,Campi also known as Campi di Norcia is a frazione of the comune of Norcia in the province of Perugia Umbria Italy,P17,Forwards
Portuguese language,European Union,European Union,Being the most widely spoken language in South America and all of the Southern Hemisphere it is also the secondmost spoken language after Spanish in Latin America one of the 10 most spoken languages in Africa and is an official language of the European Union Mercosur the Organization of American States the Economic Community of West African States the African Union and the Community of Portuguese Language Countries an international organization made up of all of the worlds officially Lusophone nations,P37,Backwards
Guardialfiera,Italy,Italian,Guardialfiera is a comune municipality in the Province of Campobasso in the Italian region Molise located about 30 kilometres 19160mi northeast of Campobasso,P17,Forwards
Schönbach RhinelandPalatinate,Germany,Germany,Schönbach Eifel dialect Schimich is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the Vulkaneifel district in RhinelandPalatinate Germany,P17,Forwards
Pietro Pettinaio,Siena,Siena,He became known for his charisma and for his care of both the poor and the ill and was honored as a saint during his lifetime by the people of Siena ,P20,Forwards
Pope Paul IV,Papal States,Papal States,Pope Paul IV CR Latin Paulus IV 28 June 1476160– 18 August 1559 born Gian Pietro Carafa was head of the Catholic Church and ruler of the Papal States from 23 May 1555 to his death in 1559,P937,Forwards
Canalizations of Zenobia,Lebanon,Lebanon,Remains of the ruins of the canals can be seen in places around Lebanon,P17,Forwards
Battle of Manzikert,Turkey,Turkey,The Battle of Manzikert was fought between the Byzantine Empire and the Seljuk Empire on 26 August 1071 near Manzikert theme of Iberia modern Malazgirt in Muş Province Turkey,P17,Forwards
Syria Palaestina,Roman province,Roman province,Syria Palaestina literally Palestinian Syria Latin Sȳria Palaestīna ˈsyːria paɫ̪ae̯sˈt̪iːna Koinē Greek Συρία ἡ Παλαιστίνη romanized160Syría hē Palaistínē Koine Greek160syˈria he̝ palɛsˈt̪ine̝ was the name given to the Roman province of Judea by the emperor Hadrian following the suppression of the Bar Kokhba revolt in 135 AD,P31,Forwards
Holy Roman Empire,Holy Roman Emperor,Holy Roman Emperor,The dynastic office of Holy Roman Emperor was traditionally elective through the mostly German princeelectors the highestranking noblemen of the empire they would elect one of their peers as King of the Romans to be crowned emperor by the Pope although the tradition of papal coronations was discontinued in the 16th century,P17,Backwards
Casa Romuli,Rome,Rome,The Casa Romuli Hut of Romulus also known as the tugurium Romuli was the reputed dwellingplace of the legendary founder and first king of Rome Romulus traditional dates 771–717 BC,P131,Forwards
Hera,Zeus,Zeus,Hera ˈhɛrə ˈhɪərə Greek Ἥρᾱ Hērā Ἥρη Hērē in Ionic and Homeric Greek  is the goddess of women marriage family and childbirth in ancient Greek religion and mythology one of the twelve Olympians and the sister and wife of Zeus,P3373,Backwards
Palmyrene Empire,Palmyra,Palmyra,Named after its capital city Palmyra it encompassed the Roman provinces of Syria Palaestina Arabia Petraea and Egypt as well as  large parts of Asia Minor,P1376,Backwards
Carnic Alps,Italy,Italy,The Carnic Alps Italian Alpi Carniche German Karnische Alpen Slovene Karnijske Alpe Friulian Alps Cjargnelis are a range of the Southern Limestone Alps in Austria and northeastern Italy,P17,Forwards
Polemon I of Pontus,Antonia Tryphaena,Antonia Tryphaena,Antonia Tryphaena,P22,Backwards
Italy,Italians,Italian,    Anthem160Il Canto degli Italiani160160ItalianThe Song of the ItaliansShow globeShow map of EuropeLocation of160Italy160dark green–160in Europe160light green amp160dark grey–160in the European Union160light green160 –160 91Legend93Capitaland largest cityRome41°54′N 12°29′Exfeff  xfeff41900°N 12483°Exfeff  41900 12483Official160languagesItalianaNative languagesSee full listEthnic160groups  2017915 Italians85 OthersReligion  2017833 Christianity124 No religion37 Islam06 OthersDemonymsItalianGovernmentUnitary parliamentaryconstitutional republic•160President Sergio Mattarella•160Prime Minister Mario Draghi•160President of the Senate Elisabetta Casellati•160President of theChamber of Deputies Roberto Fico,P1269,Backwards
Decimus Laberius,Ancient Rome,Roman,105 BC16082113243 BC was a Roman eques and writer of mimes farces,P19,Forwards
Acquasparta,Italy,Italy,Acquasparta is a town and comune in the province of Terni Umbria central Italy,P17,Forwards
History of Spain,Spain,Spain,During this period Spain was involved in all major European wars including the Italian Wars the Eighty Years War and the Thirty Years War,P17,Forwards
Justinian I,Corpus Juris Civilis,Corpus Juris Civilis,A still more resonant aspect of his legacy was the uniform rewriting of Roman law the Corpus Juris Civilis which is still the basis of civil law in many modern states,P50,Backwards
National Museum of Damascus,Damascus,Damascus,The National Museum of Damascus Arabic الْمَتْحَفُ الْوَطَنِيُّ بِدِمَشْقَ8206 is a museum in the heart of Damascus Syria,P131,Forwards
Dante Alighieri,Latin,Latin,Dante is known for establishing the use of the vernacular in literature at a time when most poetry was written in Latin making it accessible only to the most educated readers,P1412,Forwards
Marcus Atilius Regulus consul 267 BC,Roman consul,consul,Marcus Atilius Regulus probably lived between 307 BC – 250 BC was a Roman statesman and general who was a consul of the Roman Republic in 267 BC and 256 BC,P39,Forwards
Juventia gens,Ancient Rome,Rome,The gens Juventia occasionally written Jubentia was an ancient plebeian family at Rome,P17,Forwards
Pallas and the Centaur,Italy,Italian,Pallas and the Centaur is a painting by the Italian Renaissance painter Sandro Botticelli c,P17,Forwards
Emmanuele de Gregorio,Cardinal Catholic Church,cardinal,Emmanuele de Gregorio 18 December 1758 – 7 November 1839 was an Italian cardinal of the Roman Catholic Church and son of Leopoldo de Gregorio Marquis of Esquilache,P39,Forwards
Piero di Cosimo de Medici,Florence,Florence,Piero di Cosimo de Medici the Gouty Italian Piero il Gottoso  1416 8211 2 December 1469 was the de facto ruler of Florence from 1464 to 1469 during the Italian Renaissance,P20,Forwards
Gaius Mucius Scaevola,Ancient Rome,ancient Roman,Gaius Mucius Cordus better known with his later cognomen Scaevola ˈsiːvələ ˈsɛv SEEVələ Latin160ˈskae̯wɔla was an ancient Roman youth possibly mythical famous for his bravery,P27,Forwards
PérignatsurAllier,France,France,PérignatsurAllier French pronunciation1608203peʁiɲa syʁ alje literally Pérignat on Allier Occitan Pairinhat is a commune in the PuydeDôme department in Auvergne in central France,P17,Forwards
Martino given name,Martina given name,Martina,MartinoGenderMaleName dayNovember 11OriginWordnameRomanMeaningOf Mars warlike warriorOther namesRelated namesMartin Martina,P1560,Backwards
Gaul,Gauls,Gauls,Archaeologically the Gauls were bearers of the La Tène culture which extended across all of Gaul as well as east to Raetia Noricum Pannonia and southwestern Germania during the 5th to 1st centuries BC,P1889,Forwards
Syria,Levant,Levant,The name Syria historically referred to a wider region broadly synonymous with the Levant and known in Arabic as alSham,P527,Backwards
Saevius Nicanor,Sardinia,Sardinia,Suetonius adds that according to some accounts because of a bad reputation he retired to Sardinia and there died,P20,Forwards
Flavius Simonides Agrippa,Flavius Justus,Justus,Agrippa had an older full blooded brother called Justus and an older paternal halfbrother called Hyrcanus,P3373,Forwards
Mastino II della Scala,Verona,Verona,Mastino II della Scala 1308 – 3 June 1351 was lord of Verona,P20,Forwards
Museum of the Risorgimento Milan,Milan,Milanese,The Museum of the Risorgimento Italian Museo del Risorgimento located in the 18thcentury  Milanese Palazzo Moriggia houses a collection of objects and artworks which illustrate the history of Italian unification from Napoleons first Italian campaign of 1796 to the annexation of Rome in 1870,P131,Forwards
Gnaeus Domitius Ahenobarbus father of Nero,Nero,Nero,He married Agrippina the Younger and became the father of the Emperor Nero,P40,Forwards
Mardin Province,Turkey,Turkey,Mardin Province Turkish Mardin ili Kurdish Parêzgeha Mêrdînê8206 Arabic محافظة ماردين8206 is a province of Turkey with a population of 809719 in 2017 slightly down from the population of 835173 in 2000,P131,Forwards
France,Western Europe,Western Europe,France French160fʁɑ̃s32 officially the French Republic French République française is a country primarily located in Western Europe consisting of metropolitan France and several overseas regions and territories,P527,Backwards
Niccolò Fortiguerra,Viterbo,Viterbo,He died at Viterbo in 1473 and was buried at his titular church in Rome Santa Cecilia in Trastevere,P20,Forwards
British Iron Age,Iron Age,Iron Age,The British Iron Age is a conventional name used in the archaeology of Great Britain referring to the prehistoric and protohistoric phases of the Iron Age culture of the main island and the smaller islands typically excluding prehistoric Ireland which had an independent Iron Age culture of its own,P1269,Forwards
St Peters Square,Vatican City,Vatican City,Peters Square within Vatican City,P1589,Backwards
Archaeological Museum of the American University of Beirut,Lebanon,Lebanon,The Archaeology Museum of the American University of Beirut in Beirut Lebanon is the third oldest museum in the Near East after Cairo and Constantinople,P17,Forwards
Agrarian law,Roman law,laws,Agrarian laws from the Latin ager meaning land were laws among the Romans regulating the division of the public lands or ager publicus,P279,Forwards
Austria,Germany,Germany,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P530,Forwards
Egypt,Prime Minister of Egypt,Prime Minister,    Anthem160Bilady Bilady Biladyبلادي، بلادي، بلاديEnglish My country my country my countryCapitaland largest cityCairo30°2′N 31°13′Exfeff  xfeff30033°N 31217°Exfeff  30033 31217Official160languagesArabicNational languageEgyptian ArabicaReligion See Religion in EgyptDemonymsEgyptianGovernmentUnitary semipresidentialrepublic•160President Abdel Fattah elSisi•160Prime Minister Moustafa Madbouly•160House Speaker Hanafi Ali Gibali,P1313,Forwards
Tiberius Julius Cotys I,Gepaepyris,Gepaepyris,Cotys I was the second son of Roman client rulers Aspurgus and Gepaepyris,P25,Forwards
Citystate,Carthage,Carthage,They have existed in many parts of the world since the dawn of history including cities such as Rome Athens Sparta Carthage and the Italian citystates during the Middle Ages and Renaissance such as Florence Venice Genoa and Milan,P31,Backwards
Lebanon,Culture of Lebanon,culture,Despite Lebanons small size Lebanese culture is renowned both in the Arab world and globally powered by its large and influential diaspora91span titleThis claim needs references to reliable sources,P2596,Forwards
Noble Guard,Papal States,Papal States,The guardsmen were also available for special missions within the Papal States at the behest of the pope,P17,Forwards
Città di Castello,Province of Perugia,province of Perugia,Città di Castello Italian pronunciation160tʃitˈta ddi kasˈtɛllo Castle Town is a city and comune in the province of Perugia in the northern part of Umbria,P131,Forwards
