Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
HéninBeaumont,PasdeCalais,PasdeCalais,HéninBeaumont French pronunciation1608203enɛ̃ bomɔ̃ Picard HinninBiaumont is a commune in the PasdeCalais department in the HautsdeFrance region of France,P131,Forwards
Walheim,Germany,Germany,Walheim is a town in the district of Ludwigsburg BadenWürttemberg Germany with a considerable viticulture,P17,Forwards
Papal apartments,Vatican City,Vatican City,The Papal apartments is the nonofficial designation for the collection of apartments which are private state and religious that wrap around a courtyard the Courtyard of Sixtus V Cortile di Sisto V on two sides of the third top floor of the Apostolic Palace in Vatican City,P17,Forwards
580s BC,585 BC,585160,589160BC588160BC587160BC586160BC585160BC 584160BC583160BC582160BC581160BC580160BC,P361,Backwards
Campi Norcia,Italy,Italy,Campi also known as Campi di Norcia is a frazione of the comune of Norcia in the province of Perugia Umbria Italy,P17,Forwards
Guardialfiera,Italy,Italian,Guardialfiera is a comune municipality in the Province of Campobasso in the Italian region Molise located about 30 kilometres 19160mi northeast of Campobasso,P17,Forwards
Schönbach RhinelandPalatinate,Germany,Germany,Schönbach Eifel dialect Schimich is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the Vulkaneifel district in RhinelandPalatinate Germany,P17,Forwards
Pietro Pettinaio,Siena,Siena,He became known for his charisma and for his care of both the poor and the ill and was honored as a saint during his lifetime by the people of Siena ,P20,Forwards
Canalizations of Zenobia,Lebanon,Lebanon,Remains of the ruins of the canals can be seen in places around Lebanon,P17,Forwards
Battle of Manzikert,Turkey,Turkey,The Battle of Manzikert was fought between the Byzantine Empire and the Seljuk Empire on 26 August 1071 near Manzikert theme of Iberia modern Malazgirt in Muş Province Turkey,P17,Forwards
Holy Roman Empire,Holy Roman Emperor,Holy Roman Emperor,The dynastic office of Holy Roman Emperor was traditionally elective through the mostly German princeelectors the highestranking noblemen of the empire they would elect one of their peers as King of the Romans to be crowned emperor by the Pope although the tradition of papal coronations was discontinued in the 16th century,P17,Backwards
Casa Romuli,Rome,Rome,The Casa Romuli Hut of Romulus also known as the tugurium Romuli was the reputed dwellingplace of the legendary founder and first king of Rome Romulus traditional dates 771–717 BC,P131,Forwards
Carnic Alps,Italy,Italy,The Carnic Alps Italian Alpi Carniche German Karnische Alpen Slovene Karnijske Alpe Friulian Alps Cjargnelis are a range of the Southern Limestone Alps in Austria and northeastern Italy,P17,Forwards
Decimus Laberius,Ancient Rome,Roman,105 BC16082113243 BC was a Roman eques and writer of mimes farces,P19,Forwards
Acquasparta,Italy,Italy,Acquasparta is a town and comune in the province of Terni Umbria central Italy,P17,Forwards
History of Spain,Spain,Spain,During this period Spain was involved in all major European wars including the Italian Wars the Eighty Years War and the Thirty Years War,P17,Forwards
National Museum of Damascus,Damascus,Damascus,The National Museum of Damascus Arabic الْمَتْحَفُ الْوَطَنِيُّ بِدِمَشْقَ8206 is a museum in the heart of Damascus Syria,P131,Forwards
Marcus Atilius Regulus consul 267 BC,Roman consul,consul,Marcus Atilius Regulus probably lived between 307 BC – 250 BC was a Roman statesman and general who was a consul of the Roman Republic in 267 BC and 256 BC,P39,Forwards
Juventia gens,Ancient Rome,Rome,The gens Juventia occasionally written Jubentia was an ancient plebeian family at Rome,P17,Forwards
Pallas and the Centaur,Italy,Italian,Pallas and the Centaur is a painting by the Italian Renaissance painter Sandro Botticelli c,P17,Forwards
Emmanuele de Gregorio,Cardinal Catholic Church,cardinal,Emmanuele de Gregorio 18 December 1758 – 7 November 1839 was an Italian cardinal of the Roman Catholic Church and son of Leopoldo de Gregorio Marquis of Esquilache,P39,Forwards
Piero di Cosimo de Medici,Florence,Florence,Piero di Cosimo de Medici the Gouty Italian Piero il Gottoso  1416 8211 2 December 1469 was the de facto ruler of Florence from 1464 to 1469 during the Italian Renaissance,P20,Forwards
Gaius Mucius Scaevola,Ancient Rome,ancient Roman,Gaius Mucius Cordus better known with his later cognomen Scaevola ˈsiːvələ ˈsɛv SEEVələ Latin160ˈskae̯wɔla was an ancient Roman youth possibly mythical famous for his bravery,P27,Forwards
PérignatsurAllier,France,France,PérignatsurAllier French pronunciation1608203peʁiɲa syʁ alje literally Pérignat on Allier Occitan Pairinhat is a commune in the PuydeDôme department in Auvergne in central France,P17,Forwards
Saevius Nicanor,Sardinia,Sardinia,Suetonius adds that according to some accounts because of a bad reputation he retired to Sardinia and there died,P20,Forwards
Mastino II della Scala,Verona,Verona,Mastino II della Scala 1308 – 3 June 1351 was lord of Verona,P20,Forwards
Museum of the Risorgimento Milan,Milan,Milanese,The Museum of the Risorgimento Italian Museo del Risorgimento located in the 18thcentury  Milanese Palazzo Moriggia houses a collection of objects and artworks which illustrate the history of Italian unification from Napoleons first Italian campaign of 1796 to the annexation of Rome in 1870,P131,Forwards
Mardin Province,Turkey,Turkey,Mardin Province Turkish Mardin ili Kurdish Parêzgeha Mêrdînê8206 Arabic محافظة ماردين8206 is a province of Turkey with a population of 809719 in 2017 slightly down from the population of 835173 in 2000,P131,Forwards
Niccolò Fortiguerra,Viterbo,Viterbo,He died at Viterbo in 1473 and was buried at his titular church in Rome Santa Cecilia in Trastevere,P20,Forwards
Archaeological Museum of the American University of Beirut,Lebanon,Lebanon,The Archaeology Museum of the American University of Beirut in Beirut Lebanon is the third oldest museum in the Near East after Cairo and Constantinople,P17,Forwards
Noble Guard,Papal States,Papal States,The guardsmen were also available for special missions within the Papal States at the behest of the pope,P17,Forwards
Città di Castello,Province of Perugia,province of Perugia,Città di Castello Italian pronunciation160tʃitˈta ddi kasˈtɛllo Castle Town is a city and comune in the province of Perugia in the northern part of Umbria,P131,Forwards
Lurnfeld,Austria,Austrian,Lurnfeld is a market town in the district of Spittal an der Drau in the Austrian state of Carinthia,P17,Forwards
Sack of Rome 1527,Papal States,Papal States,The Sack of Rome then part of the Papal States on 6 May 1527 was carried out by the mutinous troops of Charles V Holy Roman Emperor during the War of the League of Cognac,P710,Forwards
Francesco Angeloni,Terni,Terni,Born in Terni in Umbria—a region of Italy at that time part of the Papal States—he studied in Perugia then moved to Rome where he served as secretary of cardinal Ippolito Aldobrandini later Pope Clement VIII d,P19,Forwards
Pope Alexander VII,Papal States,Papal States,Pope Alexander VII 13 February 159916082113222 May 1667 born Fabio Chigi was head of the Catholic Church and ruler of the Papal States from 7 April 1655 to his death in 1667,P27,Forwards
Portus,Lazio,Lazio,The archaeological remains of the harbour are near the modernday Italian village of Porto within the Comune of Fiumicino just south of Rome in Lazio ancient Latium,P131,Forwards
Bridge near Limyra,Turkey,Turkey,The Bridge near Limyra in Turkish Kırkgöz Kemeri Bridge of the Forty Arches is a late Roman bridge in Lycia in modern southwest Turkey and one of the oldest segmented arch bridges in the world,P17,Forwards
Classe ancient port of Ravenna,Ravenna,Ravenna,When it was not being used as a military port it was an important commercial port for the imperial capital of Ravenna in the Roman Empire,P131,Forwards
Albucia gens,Ancient Rome,Ancient Rome,The gens Albucia or Albutia was a minor plebeian family at Ancient Rome family known from the late second century BC to the first century AD,P17,Forwards
Damscheid,Germany,Germany,Damscheid is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the RheinHunsrückKreis district in RhinelandPalatinate Germany,P17,Forwards
Mount Arbel,Israel,Israel,Mount Arbel Hebrew הר ארבל8206 Har Arbel is a mountain in The Lower Galilee near Tiberias in Israel with high cliffs views of Mount Hermon in the Golan Heights trails to a cavefortress and ruins of an ancient synagogue,P17,Forwards
Eleşkirt,Turkey,Turkey,Eleşkirt Kurdish Zêdikan8206 is a town and district of Ağrı Province in Turkey,P17,Forwards
Urbino,Italy,Italy,Urbino UK ɜːrˈbiːnoʊ urBEEnoh Italian160urˈbiːno32listen Romagnol Urbìn is a walled city in the Marche region of Italy southwest of Pesaro a World Heritage Site notable for a remarkable historical legacy of independent Renaissance culture especially under the patronage of Federico da Montefeltro duke of Urbino from 1444 to 1482,P17,Forwards
Regia,Roman Forum,Roman Forum,The Regia Royal house was a twopart structure in Ancient Rome lying along the Sacra Via at the edge of the Roman Forum that originally served as the residence or one of the main headquarters of kings of Rome and later as the office of the Pontifex Maximus the highest religious official of Rome,P276,Forwards
Jakob Ayrer,Germany,German,1543 8211 March 26 1605 or in 1625 was a German playwright and author of Fastnachtsspiele carnival or Shrovetide plays,P27,Forwards
Kappeln RhinelandPalatinate,Germany,Germany,Kappeln is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the Kusel district in RhinelandPalatinate Germany,P17,Forwards
Heidesheim am Rhein,Germany,Germany,Heidesheim am Rhein is a former Ortsbezirk – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the MainzBingen district in RhinelandPalatinate Germany,P17,Forwards
Piedmont,Lombardy,Lombardy,It borders the Liguria region to the south the Lombardy and EmiliaRomagna regions to the east and the Aosta Valley region to the northwest it also borders Switzerland to the northeast and France to the west,P47,Backwards
Giuseppe Garibaldi,Kingdom of Sardinia,Kingdom of Sardinia,The expedition was a success and concluded with the annexation of Sicily Southern Italy Marche and Umbria to the Kingdom of Sardinia before the creation of a unified Kingdom of Italy on 17 March 1861,P27,Forwards
1644 papal conclave,Pope Innocent X,Pope Innocent X,It lasted from 9 August to 15 September 1644 the cardinal electors chose Giovanni Battista Pamphili who took office as Pope Innocent X,P710,Forwards
Pope Urban VII,Papal States,Papal States,Pope Urban VII Latin Urbanus VII 4 August 1521 – 27 September 1590 born Giovanni Battista Castagna was head of the Catholic Church and ruler of the Papal States from 15 to 27 September 1590,P27,Forwards
Francia,Charles Martel,Charles Martel,Under the nearly continuous campaigns of Pepin of Herstal Charles Martel Pepin the Short Charlemagne and Louis the Pious—father son grandson greatgrandson and greatgreatgrandson—the greatest expansion of the Frankish empire was secured by the early 9th century by this point dubbed as the Carolingian Empire,P27,Backwards
Veldenz,Germany,Germany,Veldenz is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the BernkastelWittlich district in RhinelandPalatinate Germany,P17,Forwards
Spain,Balearic Islands,Balearic Islands,Its territory also includes two archipelagos the Canary Islands off the coast of North Africa and the Balearic Islands in the Mediterranean Sea,P131,Backwards
1492 papal conclave,Pope Alexander VI,Pope Alexander VI,Cardinal Rodrigo Borja was elected unanimously on the fourth ballot as Pope Alexander VI,P710,Forwards
Gaius Laelius Sapiens,Ancient Rome,Roman,188 BC was a Roman statesman best known for his friendship with the Roman general and statesman Scipio Aemilianus Scipio the Younger d,P27,Forwards
Casa del Menandro,Pompeii,Pompeii,The House of Menander Italian Casa del Menandro is one of the richest and most magnificent houses in ancient Pompeii in terms of architecture decoration and contents and covers a large area of about 1800 square metres 19000160sq160ft,P361,Forwards
Marino Zorzi,Venice,Venice,1231 – 3 July 1312 born in Venice was the 50th Doge of the Republic of Venice from 23 August 1311 to his death,P19,Forwards
Suasa,Italy,Italy,Suasa was an ancient Roman town in what is now the comune of Castelleone di Suasa Marche Italy,P17,Forwards
National Museum of Damascus,Syria,Syria,The National Museum of Damascus Arabic الْمَتْحَفُ الْوَطَنِيُّ بِدِمَشْقَ8206 is a museum in the heart of Damascus Syria,P17,Forwards
France,Paris,Paris,Great Seal Show globeShow map of EuropeShow map of French overseas territoriesLocation of160France160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityParis48°51′N 2°21′Exfeff  xfeff48850°N 2350°Exfeff  48850 2350Official languagemwparseroutput noboldfontweightnormaland national languageFrench91I93Nationality 2018930 French citizens70 foreign nationals,P17,Backwards
Gallia Belgica,Roman Empire,Roman Empire,Gallia Belgica Belgic Gaul was a province of the Roman Empire located in the northeastern part of Roman Gaul in what is today primarily northern France Belgium and Luxembourg along with parts of the Netherlands and Germany,P17,Forwards
La Vijanera,Spain,Spain,La Vijanera is a fiesta of festive nature that takes place in the town of Silió Molledo Cantabria Spain on the first Sunday of each year,P17,Forwards
Province of Frosinone,Lazio,Lazio,The Province of Frosinone Italian Provincia di Frosinone is a province in the Lazio region of Italy with 91160comuni singular comune see Comuni of the Province of Frosinone,P131,Forwards
Sallustiano,Rome,Rome,Sallustiano is the 17th rione of Rome identified by the initials R,P131,Forwards
Cretan War 1645–1669,Republic of Venice,Republic of Venice,The Cretan War Greek Κρητικός Πόλεμος Turkish Giritin Fethi also known as the War of Candia Italian Guerra di Candia or the Fifth Ottoman–Venetian War was a conflict between the Republic of Venice and her allies chief among them the Knights of Malta the Papal States and France against the Ottoman Empire and the Barbary States because it was largely fought over the island of Crete Venices largest and richest overseas possession,P710,Forwards
Szigliget,Hungary,Hungary,Szigliget is a village in Veszprém county Hungary,P17,Forwards
Tetz,Germany,Germany,Tetz is the secondlargest district in the city of Linnich Düren district North RhineWestphalia Germany,P17,Forwards
Macrinus,Praetorian prefect,praetorian prefect,Before becoming emperor Macrinus served under Emperor Caracalla as a praetorian prefect and dealt with Romes civil affairs,P39,Forwards
Diyarbakır,Turkey,Turkey,Situated around a high plateau by the banks of the Tigris river on which stands the historic Diyarbakır Fortress it is the administrative capital of the Diyarbakır Province of southeastern Turkey,P17,Forwards
Italian War of 1521–1526,Battle of Bicocca,Bicocca,Bicocca,P361,Backwards
Shrine of Hercules Curinus,Italy,Italy,Shrine of Hercules Curinus was a Roman temple the ruins of which are located in the comune of Sulmona in the province of LAquila in the Abruzzo region of Italy,P17,Forwards
Smyrniote crusades,Battle of Pallene,Battle of Pallene,The first Smyrniote crusade began with the naval victory of the Battle of Pallene and ended with an assault on Smyrna capturing the harbour and the citadel but not the acropolis on 28 October 1344,P361,Backwards
Gracchi,Tiberius Gracchus,Tiberius,The Gracchi brothers Tiberius and Gaius were Romans who both served as tribunes of the plebs between 133 and 121 BC,P361,Backwards
Charles V Holy Roman Emperor,Holy Roman Empire,Holy Roman Empire,As he was head of the rising House of Habsburg during the first half of the 16th century his dominions in Europe included the Holy Roman Empire extending from Germany to northern Italy with direct rule over the Austrian hereditary lands and the Burgundian Low Countries and a unified Spain with its southern Italian kingdoms of Naples Sicily and Sardinia,P27,Forwards
Second Hundred Years War,First French Empire,, First French EmpireCommanders and leaders,P710,Forwards
Publius Furius Philus,Roman consul,consul,Philus was a consul in 223 BC a praetor in 216 and a censor in 214,P39,Forwards
Caesars Civil War,Battle of Munda,Battle of Munda,The following year Caesar defeated the last of the Optimates under his former lieutenant Labienus in the Battle of Munda and became Dictator perpetuo Dictator in perpetuity or Dictator for life of Rome,P361,Backwards
South Slavs,Macedonians ethnic group,Macedonians,The South Slavs today include the nations of Bosniaks Bulgarians Croats Macedonians Montenegrins Serbs and Slovenes,P361,Backwards
National Etruscan Museum,Italy,Italy,The National Etruscan Museum Italian Museo Nazionale Etrusco is a museum of the Etruscan civilization housed in the Villa Giulia in Rome Italy,P17,Forwards
Trieste Cathedral,Trieste,Trieste,Trieste Cathedral Italian Basilica cattedrale di San Giusto Martire dedicated to Saint Justus is a Roman Catholic cathedral and the main church of Trieste in northern Italy,P131,Forwards
Laenia gens,Ancient Rome,Rome,The gens Laenia was a minor family at Rome during the first century BC,P17,Forwards
Piraeus,Greece,Greece,As of the 2011 census Piraeus had a population of 163688 people making it the fifth largest municipality in Greece and the second largest after the municipality of Athens within the Athens urban area,P17,Forwards
Piali Pasha,Ottoman Empire,Ottoman,1515–1578 was an Ottoman Grand Admiral Kapudan Pasha between 1553 and 1567 and a Vizier minister after 1568,P27,Forwards
Grand Vosges,France,France,Grand is a commune in the Vosges department in Grand Est in northeastern France,P17,Forwards
St Johann in Tirol,Austria,Austria,Johann in Tirol is a market town in Tyrol Austria in the Kitzbühel district,P17,Forwards
Saddle,Stirrup,stirrup,The solid saddle tree was a later invention and though early stirrup designs predated the invention of the solid tree,P361,Backwards
Bussana,Italy,Italian,Bussana is an Italian hamlet frazione of the municipality of Sanremo in the Province of Imperia Liguria,P17,Forwards
Middle East,Iran,Iran, 160Iran,P361,Backwards
Trevi Umbria,Foligno,Foligno,It is 10160km 6160mi SSE of Foligno and 20160km 12160mi north of Spoleto,P47,Backwards
Greek Colony Jerusalem,Jerusalem,Jerusalem,The Greek Colony Hebrew המושבה היוונית8206 HaMoshava HaYevanit is a neighborhood in Jerusalem bordering the German Colony and Katamon,P131,Forwards
Marcus Aurelius,Roman emperor,Roman emperor,Marcus Aurelius Antoninus ɔːˈriːliəs əREEleeəs 26 April 121 – 17 March 180 was Roman emperor from 161 to 180 and a Stoic philosopher,P39,Forwards
Pope Gregory V,Pope,pope,A member of the Salian dynasty he was made pope by his cousin Emperor Otto III,P39,Forwards
Tétouan,Morocco,Morocco,Tétouan Arabic تطوان8206 romanized160tiṭwān Berber languages ⵜⵉⵟⵟⴰⵡⵉⵏ romanized160tiṭṭawin Spanish Tetuán nicknamed the White Dove Arabic الحمامة البيضاء8206 is a city located in northern Morocco,P17,Forwards
Todenroth,Germany,Germany,Todenroth is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the RheinHunsrückKreis district in RhinelandPalatinate Germany,P17,Forwards
Kitos War,Eastern Mediterranean,Eastern Mediterranean,Second Jewish–Roman WarPart of the Jewish–Roman warsThe Roman Empire after 120 CEDate115–117LocationEastern Mediterranean Roman EmpireResult,P276,Forwards
Horse racing in Great Britain,Great Britain,Great Britain,Horse racing is the second largest spectator sport in Great Britain and one of the longest established with a history dating back many centuries,P276,Forwards
PasdeCalais,Calais,Calais,PasdeCalais French160pɑ də kalɛ32listen strait of Calais Picard PasCalés also Dutch Nauw van Kales is a department in northern France named after the French designation of the Strait of Dover which it borders,P131,Backwards
Norba,Italy,Italy,Norba an ancient town of Latium Adjectum Italy,P17,Forwards
Vallecorsa,Italy,Italian,Vallecorsa is a comune municipality in the Province of Frosinone in the Italian region Lazio located about 90 kilometres 56160mi southeast of Rome and about 20 kilometres 12160mi south of Frosinone in the Monti Ausoni area,P17,Forwards
War of the Second Coalition,Polish Legions Napoleonic period,Polish Legions,160French RepublicSpainPolish LegionsFrench client republics,P710,Forwards
Spaniards,Spain,Spain,Spaniards91a93 or Spanish people are a predominantly Romancespeaking nation native to Spain,P131,Forwards
São Jorge Castle,Portugal,Portuguese,São Jorge Castle Portuguese Castelo de São Jorge Portuguese pronunciation160kɐʃˈtɛlu dɨ sɐ̃w̃ ˈʒɔɾʒɨ English Saint George Castle is a historic castle in the Portuguese capital of Lisbon located in the freguesia of Santa Maria Maior,P17,Forwards
