Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Human ecology,Ecology,ecology,The philosophy and study of human ecology has a diffuse history with advancements in ecology geography sociology psychology anthropology zoology epidemiology public health and home economics among others,P527,Backwards
Nanda Devi,India,India,Nanda Devi is the second highest mountain in India after Kangchenjunga and the highest located entirely within the country,P17,Forwards
Myanmar,Bangladesh,Bangladesh,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P530,Backwards
Sustainable Development Goal 7,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 7 SDG 7 or Global Goal 7 is one of 17 Sustainable Development Goals established by the United Nations General Assembly in 2015,P527,Backwards
Estonia,European Union,European Union,It has a population of 13160million and is one of the least populous members of the European Union the Eurozone the OECD the Schengen Area NATO and the United Nations Security Council,P527,Backwards
Sweden,Norway,Norway,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P530,Forwards
Muntinlupa,Metro Manila,National Capital Region,Muntinlupa officially the City of Muntinlupa Tagalog Lungsod ng Muntinlupa is a 1st class highly urbanized city in the National Capital Region of the Philippines,P131,Forwards
Sustainable Development Goal 15,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 15 SDG 15 or Global Goal 15 is about Life on land One of the 17 Sustainable Development Goals established by the United Nations in 2015 the official wording is Protect restore and promote sustainable use of terrestrial ecosystems sustainably manage forests combat desertification and halt and reverse land degradation and halt biodiversity loss,P361,Forwards
Cameroon,Nigeria,Nigeria,It is bordered by Nigeria to the west and north Chad to the northeast the Central African Republic to the east and Equatorial Guinea Gabon and the Republic of the Congo to the south,P530,Forwards
Modul University Vienna,Austria,Austria,Modul University Vienna short MU Vienna is a private university established in 2007 in Vienna Austria focusing on social and economic development particularly in the areas of tourism new media information technology sustainability business management and public governance,P17,Forwards
Indonesia,Borneo,Borneo,It consists of over seventeen thousand islands including Sumatra Java Sulawesi and parts of Borneo and New Guinea,P17,Backwards
Philippines,Metro Manila,Metro Manila,Manila is the nations capital while the largest city is Quezon City both lying within the urban area of Metro Manila,P150,Forwards
Latvia,European Union,European Union,    Anthem160Dievs svētī LatvijuGod Bless LatviaLocation of160Latvia160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityRiga56°57′N 24°6′Exfeff  xfeff56950°N 24100°Exfeff  56950 24100Official160languagesLatvianaEthnic160groups  2019625 Latvians247 Russians32 Belarusians22 Ukrainians19 Poles11 Lithuanians02 Roma02 Jews36 Others16032UnspecifiedReligion 800 Christianity—343 Lutheranism—251 Catholicism—169 Orthodoxy—37 Other Christian183 No religion17 OthersDemonymsLatvianGovernmentUnitary parliamentary constitutional republic•160President Egils Levits•160Prime Minister Krišjānis Kariņš•160Speaker of the Saeima Ināra Mūrniece,P463,Forwards
University of Papua New Guinea,Port Moresby,Port Moresby,The University of Papua New Guinea UPNG is a university located in Port Moresby capital of Papua New Guinea,P131,Forwards
Air conditioning,Heating ventilation and air conditioning,heating ventilation and air conditioning HVAC,Air conditioning is a member of a family of systems and techniques that provide heating ventilation and air conditioning HVAC,P527,Backwards
Northern short grasslands,Saskatchewan,Saskatchewan,The Northern short grasslands includes parts of the Canadian provinces of Alberta and Saskatchewan and the American Great Plains states of Montana North Dakota Wyoming South Dakota and Nebraska,P131,Forwards
Rwanda,African Union,African Union,The country is member of the African Union the United Nations the Commonwealth of Nations COMESA OIF and the East African Community,P361,Forwards
Ocean Conservancy,United States,United States,Ocean Conservancy founded as The Delta Corporation is a nonprofit environmental advocacy group based in Washington DC United States,P17,Forwards
Ghana,Ivory Coast,Ivory Coast,It spans along the Gulf of Guinea and the Atlantic Ocean sharing borders with the Ivory Coast in the west Burkina Faso in the north Togo in the east the Gulf of Guinea and the Atlantic Ocean in the south,P47,Forwards
David Thomas geographer,United Kingdom,UK,He was born in Buckland Hospital Dover Kent UK in 1958,P27,Forwards
European Union,Latvia,Latvia,   160Latvia,P150,Forwards
European Union,Poland,Poland,   160Poland,P463,Backwards
University of British Columbia,British Columbia,British Columbia,Established in 1908 UBC is British Columbias oldest university,P131,Forwards
Anjajavy Forest,Madagascar,Madagascar, Anjajavy Forest has much in common with other dry deciduous forests rising out of the tsingy limestone formations of western Madagascar,P17,Forwards
University of the South Pacific,Tuvalu,Tuvalu,Established in 1968 the university is organised as an intergovernmental organisation and is owned by the governments of 12 Pacific island countries the Cook Islands Fiji Kiribati Marshall Islands Nauru Niue Samoa Solomon Islands Tokelau Tonga Tuvalu and Vanuatu,P17,Forwards
Rio Conchos,Chihuahua state,Chihuahua,The Río Conchos Conchos River is a large river in the Mexican state of Chihuahua,P131,Forwards
Republic of Ireland,United Kingdom,United Kingdom,The sovereign state shares its only land border with Northern Ireland which is part of the United Kingdom,P530,Forwards
Germany,Czech Republic,Czech Republic,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
Saskatchewan,Manitoba,Manitoba,Saskatchewan is bordered on the west by Alberta on the north by the Northwest Territories on the east by Manitoba to the northeast by Nunavut and on the south by the US states of Montana and North Dakota,P47,Forwards
United Kingdom,Scotland,Scotland,The United Kingdom consists of four countries England Scotland Wales and Northern Ireland,P150,Forwards
Tobacco industry in Malawi,Malawi,Malawi,As of 2005 Malawi was the 12th largest producer of tobacco leaves and the 7th largest global supporter of tobacco leaves,P17,Forwards
Czech Republic,Austria,Austria,It is bordered by Austria to the south Germany to the west Poland to the northeast and Slovakia to the east,P47,Forwards
China,Shanghai,Shanghai,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P131,Backwards
International nongovernmental organization,Nongovernmental organization,nongovernmental organization,An international nongovernmental organization INGO extends the concept of a nongovernmental organization NGO to an international scope,P279,Forwards
Germany,Czech Republic,Czech Republic,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Backwards
Ivory Coast,West Africa,West Africa,Ivory Coast also known as Côte dIvoire91a93 officially the Republic of Côte dIvoire is a country located on the south coast of West Africa,P361,Forwards
Mazingira Green Party of Kenya,Kenya,Kenyan,The Mazingira Green Party of Kenya is a Kenyan green party,P17,Forwards
Namibia,Angola,Angola,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P47,Forwards
Nana AkufoAddo,Ghana,Ghanaian,Nana Addo Dankwa AkufoAddo æˈkʊfoʊ ɑːˈdoʊ32listen aKUUFoh ahDOH born 29 March 1944 is a Ghanaian politician who is the current president of the Republic of Ghana,P27,Forwards
County Clare,Republic of Ireland,Ireland,County Clare Irish Contae an Chláir is a county in Ireland in the MidWest Region and the province of Munster bordered on the west by the Atlantic Ocean,P17,Forwards
National Institute for Public Health and the Environment,Netherlands,Dutch,The National Institute for Public Health and the Environment Dutch Rijksinstituut voor Volksgezondheid en Milieu or simply RIVM  is a Dutch research institute that is an independent agency of the Dutch Ministry of Health Welfare and Sport,P17,Forwards
IJburg,Netherlands,Netherlands,IJburg is a residential neighbourhood under construction in Amsterdam Netherlands,P17,Forwards
Northern short grasslands,United States,American,The Northern short grasslands includes parts of the Canadian provinces of Alberta and Saskatchewan and the American Great Plains states of Montana North Dakota Wyoming South Dakota and Nebraska,P17,Forwards
S Club 7,Rachel Stevens,Rachel Stevens,S Club 7 were a British pop group from London in 1998 created by former Spice Girls manager Simon Fuller consisting of members Bradley McIntosh Hannah Spearritt Jo OMeara Jon Lee Paul Cattermole Rachel Stevens and Tina Barrett,P361,Backwards
Diocesan College,South Africa,South Africa,The Diocesan College Colloquially known as Bishops as it is more commonly known is a private English medium boarding and day high school for boys situated in the suburb of Rondebosch in Cape Town in the Western Cape province of South Africa,P17,Forwards
Ontario,Quebec,Quebec,Located in Central Canada it is Canadas most populous province with 383160percent of the countrys population and is the secondlargest province by total area after Quebec,P47,Forwards
London,United Kingdom,United Kingdom,London is the capital and largest city of England and the United Kingdom,P17,Forwards
Rachel Stevens,S Club 7,S Club 7,In November 2014 S Club 7 announced plans for an arena reunion tour titled Bring It All Back 2015 touring the UK in May 2015,P527,Backwards
Estonia,Finland,Finland,It is bordered to the north by the Gulf of Finland across from Finland to the west by the Baltic Sea across from Sweden to the south by Latvia and to the east by Lake Peipus and Russia,P530,Forwards
Biogas,Renewable energy,renewable energy,Biogas is a renewable energy source,P279,Forwards
New Brunswick,Canada,Canada,In 1867 New Brunswick decided to confederate with Nova Scotia and the Province of Canada now Quebec and Ontario to form Canada,P150,Backwards
United Nations,SecretaryGeneral of the United Nations,SecretaryGeneral,The UNs chief administrative officer is the SecretaryGeneral currently Portuguese politician and diplomat António Guterres who began his five yearterm on 1 January 2017,P279,Backwards
Belgium,Netherlands,Netherlands,It is bordered by the Netherlands to the north Germany to the east Luxembourg to the southeast France to the southwest and the North Sea to the northwest,P47,Forwards
Central African Republic,United Nations,United Nations,The Central African Republic is a member of the United Nations the African Union the Economic Community of Central African States the Organisation internationale de la Francophonie and the NonAligned Movement,P463,Forwards
Latvia,European Union,European Union,    Anthem160Dievs svētī LatvijuGod Bless LatviaLocation of160Latvia160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityRiga56°57′N 24°6′Exfeff  xfeff56950°N 24100°Exfeff  56950 24100Official160languagesLatvianaEthnic160groups  2019625 Latvians247 Russians32 Belarusians22 Ukrainians19 Poles11 Lithuanians02 Roma02 Jews36 Others16032UnspecifiedReligion 800 Christianity—343 Lutheranism—251 Catholicism—169 Orthodoxy—37 Other Christian183 No religion17 OthersDemonymsLatvianGovernmentUnitary parliamentary constitutional republic•160President Egils Levits•160Prime Minister Krišjānis Kariņš•160Speaker of the Saeima Ināra Mūrniece,P150,Backwards
Geography of Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina is located in Southeastern Europe in the western Balkans,P17,Forwards
Heidi Hautala,Finland,Finland,Heidi Anneli Hautala born 14 November 1955 is a Finnish politician and Member of the European Parliament MEP from Finland,P27,Forwards
Tanzania,Kenya,Kenya,It borders Uganda to the north Kenya to the northeast Comoro Islands and the Indian Ocean to the east Mozambique and Malawi to the south Zambia to the southwest and Rwanda Burundi and the Democratic Republic of the Congo to the west,P530,Forwards
Bhutan,Japan,Japan,It has since expanded relations with 55 countries including Bangladesh Israel Kuwait Brazil Japan Thailand and Turkey as well as the European Union,P530,Forwards
Denmark,Sweden,Sweden,Denmark lies southwest of Sweden and south of Norway91N 1293 and is bordered to the south by Germany,P530,Forwards
Croatia,European Union,European Union,It is a member of the European Union the United Nations the Council of Europe NATO the World Trade Organization and a founding member of the Union for the Mediterranean,P527,Backwards
Storm,Severe weather,severe weather,A storm is any disturbed state of an environment or in an astronomical bodys atmosphere especially affecting its surface and strongly implying severe weather,P279,Backwards
Western Australia,Australia,Australia,Western Australia abbreviated as WA is a state occupying the western 329 percent of the land area of Australia excluding external territories,P150,Backwards
Uganda,Kenya,Kenya,It is bordered to the east by Kenya to the north by South Sudan to the west by the Democratic Republic of the Congo to the southwest by Rwanda and to the south by Tanzania,P530,Backwards
Bettina Boxall,United States,American,October 2020citation needed93 is an American journalist who covers water issues and the environment for the Los Angeles Times,P27,Forwards
Austria,European Union,European Union,  There is an official dictionary the Österreichisches Wörterbuch published on commission by the Austrian Ministry of Education  Croatian Czech Hungarian Romani Slovak and Slovene are officially recognised by the European Charter for Regional or Minority Languages ECRML  Austrian schilling before 1999 Virtual Euro since 1 January 1999 Euro since 1 January 2002  The eu domain is also used as it is shared with other European Union member states,P463,Forwards
Sun Myung Moon,South Korea,South Korean,Businesses he promoted included News World Communications an international news media corporation known for its American subsidiary The Washington Times and Tongil Group a South Korean business group chaebol as well as other related organizations,P27,Forwards
Joint Forest Management,India,India,Joint Forest Management often abbreviated as JFM is the official and popular term in India for partnerships in forest movement involving both the state forest departments and local communities,P17,Forwards
Quebec,Newfoundland and Labrador,Newfoundland and Labrador,Located in Central Canada the province shares land borders with Ontario to the southwest Newfoundland and Labrador to the northeast New Brunswick to the southeast and a coastal border with Nunavut it also borders the a hrefwikiUSstate titleUS,P47,Forwards
Northeast India,India,India,Northeast India officially North Eastern Region NER is the easternmost region of India representing both a geographic and political administrative division of the country,P17,Forwards
Sustainable Development Goals,Sustainable Development Goal 12,Responsible Consumption and Production,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Trondheim,Norway,Norway,Trondheim UK ˈtrɒndhaɪm ˈtrɒnhaɪm US ˈtrɒnheɪm Urban East Norwegian160ˈtrɔ̂nhæɪm Southern Sami Tråante Kven Tronjami historically Kaupangen Nidaros and Trondhjem is a city and municipality in Trøndelag county Norway,P17,Forwards
Belgium,Europe,Europe,    Motto160Eendracht maakt macht160DutchLunion fait la force160FrenchEinigkeit macht stark160GermanUnity makes strengthAnthem160La BrabançonneEnglish The Brabantian Location of160Belgium160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityBrussels50°51′N 4°21′Exfeff  xfeff50850°N 4350°Exfeff  50850 4350Official160languagesDutchFrenchGermanReligion  2019,P361,Forwards
UK Export Finance,United Kingdom,United Kingdom,UK Export Finance UKEF is the operating name of the Export Credits Guarantee Department ECGD the United Kingdoms export credit agency and a ministerial department of the UK government,P17,Forwards
Ethiopia,Kenya,Kenya, It shares borders with Eritrea to the north Djibouti and Somaliland to the northeast Somalia to the east Kenya to the south South Sudan to the west and Sudan to the northwest,P530,Forwards
New York State Museum,United States,United States,The New York State Museum is a researchbacked institution in Albany New York United States,P17,Forwards
Austria,Hungary,Hungary,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P47,Backwards
Bhutan,India,India,It is bordered by China to the north and India to the south,P530,Forwards
Scandic Hotels,Sweden,Sweden,Alongside hotels in Sweden Norway Finland and Denmark the company also has a presence in Germany and Poland,P17,Forwards
Finland,Sweden,Sweden,It shares land borders with Sweden to the west Russia to the east Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland of the Baltic Sea across Estonia to the south,P530,Backwards
Germany,Belgium,Belgium,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
Sierra Club,United States,United States,The Sierra Club is an environmental organization with chapters in all 50 United States Washington DC and Puerto Rico,P17,Forwards
West Africa,Ivory Coast,Ivory Coast,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P527,Forwards
Atlantic dry forests,Brazil,Brazil,The Atlantic dry forests are a tropical dry forest ecoregion of the Atlantic Forest Biome located in eastern Brazil,P17,Forwards
North Region Brazil,Brazil,Brazil,The North Region of Brazil Portuguese Região Norte do Brasil ʁeʒiˈɐ̃w̃ ˈnɔʁtʃi du bɾaˈziw is the largest Region of Brazil corresponding to 4527 of the national territory,P131,Forwards
Philippines,Metro Manila,Metro Manila,  While Manila is designated as the nations capital the seat of government is the National Capital Region commonly known as Metro Manila of which the city of Manila is a part,P17,Backwards
Malta,European Union,European Union,It has been a member state of the Commonwealth of Nations and the United Nations since independence and joined the European Union in 2004 it became part of the eurozone monetary union in 2008,P463,Forwards
Grain for Green,China,China,China started the Grain for Green program in the western parts of the country for example Shanxi Province,P17,Forwards
Canada,United Kingdom,United Kingdom,This began an accretion of provinces and territories and a process of increasing autonomy from the United Kingdom,P530,Backwards
Betung Kerihun National Park,Indonesia,Indonesia,Betung Kerihun National Park previously Bentuang Karimun is a national park in the province of West Kalimantan on the island of Borneo Indonesia,P17,Forwards
Environmental issues in Kenya,Environmental issues,Environmental issues,Environmental issues in Kenya include deforestation soil erosion desertification water shortage and degraded water quality flooding poaching and domestic and industrial pollution,P279,Forwards
Philippines,United Nations,United Nations,The Philippines is a founding member of the United Nations World Trade Organization Association of Southeast Asian Nations the AsiaPacific Economic Cooperation forum and the East Asia Summit,P463,Forwards
Kwara State,Nigeria,Nigeria,Kwara Yoruba Ìpínlẹ̀ Kwárà is a state in Western  Nigeria,P131,Forwards
Austria,European Union,European Union,  There is an official dictionary the Österreichisches Wörterbuch published on commission by the Austrian Ministry of Education  Croatian Czech Hungarian Romani Slovak and Slovene are officially recognised by the European Charter for Regional or Minority Languages ECRML  Austrian schilling before 1999 Virtual Euro since 1 January 1999 Euro since 1 January 2002  The eu domain is also used as it is shared with other European Union member states,P527,Backwards
New Brunswick,Canada,Canada,New Brunswick French NouveauBrunswick is one of the thirteen provinces and territories of Canada,P17,Forwards
Terra preta,Soil,soil,Terra preta Portuguese pronunciation160ˈtɛʁɐ ˈpɾetɐ locally ˈtɛha ˈpɾeta literally black soil in Portuguese is a type of very dark fertile artificial anthropogenic soil found in the Amazon Basin,P279,Forwards
Ghana,Nigeria,Nigeria,It is the secondmost populous country in West Africa after Nigeria  Accra is its capital and largest city,P530,Forwards
Northwest Territories,British Columbia,British Columbia,The Northwest Territories is bordered by Canadas two other territories Nunavut to the east and Yukon to the west and by the provinces of British Columbia Alberta and Saskatchewan to the south and may touch Manitoba at a quadripoint to the southeast,P47,Forwards
Soil science,Pedology,pedology,Sometimes terms which refer to branches of soil science such as pedology formation chemistry morphology and classification of soil and edaphology how soils interact with living things especially plants are used as if synonymous with soil science,P361,Backwards
England,United Kingdom,United Kingdom,England is a country that is part of the United Kingdom,P131,Forwards
Brazil,G20,G20,Brazil is a founding member of the United Nations the G20 BRICS Mercosul Organization of American States Organization of IberoAmerican States and the Community of Portuguese Language Countries,P527,Backwards
Bangladesh,Myanmar,Myanmar,Bangladesh shares land borders with India to the west north and east Myanmar to the southeast and the Bay of Bengal to the south,P47,Backwards
Tasneem Essop,South Africa,South Africa,Essop was employed by World Wide Fund for Nature in South Africa as International Climate Policy Advocate,P27,Forwards
Nigeria,South Africa,South Africa,Nigeria is Africas richest country by nominal GDP surpassing Egypt and South Africa and is the 27th richest country in the world,P530,Forwards
European Union,Poland,Poland,   160Poland,P150,Forwards
Connected City Florida,United States,United States,The community will include a Saint Leo University Education Center a wellness district sponsored by Florida Hospital and Tampa General Hospital and the first Crystal Lagoon in the United States,P17,Forwards
Canada,Toronto,Toronto,Royal anthem160God Save the Queen CapitalOttawa45°24′N 75°40′Wxfeff  xfeff45400°N 75667°Wxfeff  45400 75667Largest cityTorontoOfficial160languagesEnglishFrenchEthnic160groups  2016,P17,Backwards
Ecology,Human ecology,human ecology,Ecology has practical applications in conservation biology wetland management natural resource management agroecology agriculture forestry agroforestry fisheries city planning urban ecology community health economics basic and applied science and human social interaction human ecology,P279,Backwards
Olafur Eliasson,Denmark,Danish,Olafur Eliasson Icelandic Ólafur Elíasson born 5 February 1967 is an Icelandic–Danish artist known for sculptures and largescale installation art employing elemental materials such as light water and air temperature to enhance the viewer’s experience,P27,Forwards
Code for Sustainable Homes,United Kingdom,United Kingdom,The Code for Sustainable Homes was an environmental assessment method for rating and certifying the performance of new homes in United Kingdom,P17,Forwards
Social science,Economics,economics,In addition to sociology it now encompasses a wide array of academic disciplines including anthropology archaeology economics human geography linguistics management science media studies political science psychology and history,P527,Forwards
Deforestation in Brazil,Brazil,Brazil,Brazil once had the highest deforestation rate in the world and in 2005 still had the largest area of forest removed annually,P17,Forwards
Finland,Sweden,Sweden,It shares land borders with Sweden to the west Russia to the east Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland of the Baltic Sea across Estonia to the south,P47,Forwards
Northern short grasslands,Alberta,Alberta,The Northern short grasslands includes parts of the Canadian provinces of Alberta and Saskatchewan and the American Great Plains states of Montana North Dakota Wyoming South Dakota and Nebraska,P131,Forwards
Germany,Belgium,Belgium,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P530,Backwards
South Korea,United Nations,UN,7th century BCE•160Declaration of Independence 1 March 1919•160Provisional Government 11 April 1919•160Independence from Japan 15 August 1945•160US administration of Korea south of the 38th parallel 8 September 1945•160ROK established 15 August 1948•160Current constitution 25 February 1988•160Admitted to the UN 17 September 1991,P463,Forwards
Waste minimisation,Waste management,waste management,Managers see waste minimisation as a primary focus for most waste management strategies,P361,Forwards
Orion Society,United States,United States,The Orion Society is a United States nonprofit organization that engages environmental and cultural issues through publication of books magazines and educational materials and facilitation of informational networks,P17,Forwards
Bangladesh,China,China,It is narrowly separated from Nepal and Bhutan by the Siliguri Corridor and from China by Sikkim in the north respectively,P530,Forwards
Denmark,European Union,EU,Denmark became a member of the European Economic Community now the EU in 1973 but negotiated certain optouts it retains its own currency the krone,P530,Forwards
Richard Levine,United States,American,Richard Steven Dick Levine born September 11 1939 is an American environmental architect solar energy and sustainability pioneer  and professor at the University of Kentucky,P27,Forwards
New Zealand Shark Alliance,New Zealand,New Zealand,The New Zealand Shark Alliance is an umbrella group of nongovernmental organizations NGOs united in a campaign to ban shark finning in New Zealand waters and protect its sharks,P17,Forwards
European Union,Germany,Germany,   160Germany,P463,Backwards
Sindh,Gujarat,Gujarat,Sindh also borders the Indian states of Gujarat and Rajasthan to the east and the Arabian Sea to the south,P47,Backwards
United Kingdom,England,England,The United Kingdom consists of four countries England Scotland Wales and Northern Ireland,P17,Backwards
Rizhao,Shandong,Shandong,Rizhao Chinese58 日照 alternatively romanized as Jihchao is a prefecturelevel city in southeastern Shandong province China,P131,Forwards
New Brunswick,Quebec,Quebec,In 1867 New Brunswick decided to confederate with Nova Scotia and the Province of Canada now Quebec and Ontario to form Canada,P47,Backwards
Sustainable Development Goals,Sustainable Development Goal 6,Clean Water and Sanitation,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Berlin,Germany,Germany,One of Germanys sixteen constituent states Berlin is surrounded by the State of Brandenburg and contiguous with Potsdam Brandenburgs capital,P150,Backwards
New Brunswick,Quebec,Quebec,In 1867 New Brunswick decided to confederate with Nova Scotia and the Province of Canada now Quebec and Ontario to form Canada,P47,Forwards
Sweden,Denmark,Denmark,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P530,Backwards
Great Nicobar Biosphere Reserve,India,Indian,The Great Nicobar Biosphere Reserve encompasses a large part some 85 of the island of Great Nicobar the largest of the Nicobar Islands in the Indian Union Territory of Andaman and Nicobar Islands,P17,Forwards
Nepal,India,India,It is mainly situated in the Himalayas but also includes parts of the IndoGangetic Plain bordering Tibet of China to the north and India in the south east and west while it is narrowly separated from Bangladesh by the Siliguri Corridor and from Bhutan by the Indian state of Sikkim,P47,Backwards
Sacred Himalayan Landscape,Nepal,Nepal,It extends from Nepals Langtang National Park through Sikkim and Darjeeling in India to western Bhutans Torsa Strict Nature Reserve,P17,Forwards
2019 Amazon rainforest wildfires,Brazil,Brazil,The 2019 Amazon rainforest wildfires season saw a yeartoyear surge in fires occurring in the Amazon rainforest and Amazon biome within Brazil Bolivia Paraguay and Peru during that years Amazonian tropical dry season,P17,Forwards
EU Business School,Germany,Germany,EU Business School formerly European University is a private business school with campuses in Geneva and Montreux Switzerland Barcelona Spain and Munich Germany,P17,Forwards
Somaliland,Ethiopia,Ethiopia,It is bordered by Djibouti to the northwest Ethiopia to the south and west and Somalia to the east,P47,Forwards
Tunisia,Sahara,Sahara,It contains the eastern end of the Atlas Mountains and the northern reaches of the Sahara desert with much of its remaining territory arable land,P131,Backwards
Germany,Austria,Austria,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Backwards
Hopetoun Falls,Australia,Australia,The Hopetoun Falls is a waterfall across the Aire River that is located in The Otways region of Victoria Australia,P17,Forwards
